id, arrivalTime, startTime, pickUp, dropOff, amount
0,09:50:00,11:50:00,11,9,1
1,12:15:00,13:25:00,2,6,1
2,07:00:00,11:25:00,3,13,2
3,07:00:00,08:10:00,11,4,1
4,07:00:00,11:15:00,3,10,1
5,07:00:00,10:05:00,11,10,1
6,07:00:00,09:40:00,3,9,1
7,07:00:00,08:30:00,2,0,1
8,07:00:00,09:00:00,9,13,1
9,07:00:00,09:40:00,2,3,1
10,07:30:00,13:35:00,5,3,2
11,07:00:00,08:45:00,11,0,1
12,07:00:00,12:20:00,7,12,1
13,07:00:00,08:30:00,2,6,1
14,07:00:00,13:40:00,0,1,2
15,07:00:00,11:00:00,11,6,1
16,07:00:00,08:55:00,11,1,1
17,07:10:00,09:05:00,2,1,2
18,07:00:00,12:20:00,7,10,1
19,10:00:00,11:30:00,9,10,1
20,11:40:00,13:50:00,12,7,1
21,07:00:00,10:30:00,9,11,1
22,07:00:00,08:45:00,5,2,1
23,07:00:00,11:55:00,2,1,1
24,07:00:00,13:05:00,5,7,1
25,07:00:00,11:45:00,8,0,1
26,07:00:00,11:40:00,12,2,1
27,07:00:00,13:50:00,9,0,1
28,07:00:00,10:05:00,10,13,1
29,08:45:00,12:40:00,12,11,1
30,07:00:00,10:00:00,1,5,1
31,08:55:00,12:10:00,9,3,1
32,07:00:00,08:15:00,0,6,1
33,07:00:00,11:15:00,13,5,1
34,07:00:00,13:15:00,6,4,2
35,07:00:00,08:45:00,3,7,1
36,07:00:00,11:50:00,0,4,1
37,11:50:00,14:00:00,7,10,2
38,07:00:00,09:15:00,10,7,1
39,07:00:00,09:45:00,7,1,1
40,07:00:00,10:30:00,9,10,1
41,07:00:00,10:15:00,1,12,1
42,07:00:00,13:25:00,4,12,1
43,07:00:00,10:30:00,11,6,1
44,08:50:00,13:55:00,1,7,1
45,07:00:00,08:25:00,7,11,1
46,07:00:00,11:15:00,1,12,1
47,07:00:00,13:20:00,4,13,1
48,07:00:00,11:00:00,0,10,1
49,07:00:00,08:50:00,9,11,1
50,08:20:00,09:30:00,7,11,1
51,07:00:00,11:25:00,7,2,1
