id, arrivalTime, startTime, pickUp, dropOff, amount
0,07:00:00,08:30:00,7,11,1
1,07:00:00,09:10:00,11,4,1
2,07:00:00,09:20:00,3,13,1
3,07:00:00,10:00:00,0,5,1
4,07:00:00,10:05:00,0,13,1
5,07:00:00,09:30:00,10,8,1
6,07:00:00,10:00:00,7,0,1
7,07:25:00,08:55:00,1,11,1
8,07:00:00,09:55:00,2,1,1
9,07:00:00,10:50:00,1,11,1
10,07:00:00,09:45:00,4,5,1
11,07:00:00,08:55:00,10,4,2
12,07:05:00,10:40:00,6,4,1
13,07:00:00,10:00:00,7,6,1
14,07:00:00,08:15:00,2,4,1
15,07:00:00,08:35:00,12,1,1
16,07:00:00,08:15:00,8,3,1
17,07:00:00,08:00:00,6,12,1
18,07:55:00,10:40:00,7,12,1
19,07:00:00,10:45:00,7,13,1
20,07:00:00,10:55:00,8,5,1
21,07:00:00,09:15:00,2,11,1
22,07:00:00,08:00:00,12,6,1
23,07:00:00,09:25:00,9,1,1
24,07:00:00,10:30:00,10,8,2
25,07:00:00,09:40:00,11,2,1
26,07:00:00,08:50:00,3,0,1
27,07:00:00,08:10:00,0,10,1
28,09:10:00,10:25:00,1,10,1
29,07:00:00,09:50:00,10,4,1
30,07:00:00,08:40:00,6,11,2
31,07:00:00,08:40:00,5,11,1
32,07:00:00,09:35:00,7,5,1
33,07:00:00,08:50:00,6,10,1
34,07:50:00,09:10:00,2,0,1
35,07:00:00,09:40:00,10,5,1
36,07:00:00,09:20:00,7,5,1
37,07:00:00,09:45:00,13,10,1
38,07:55:00,10:10:00,12,2,1
39,07:00:00,09:00:00,1,13,1
40,09:35:00,10:40:00,13,4,1
41,07:00:00,08:55:00,10,7,2
42,08:40:00,10:10:00,7,6,1
43,07:00:00,08:35:00,1,8,1
44,07:00:00,10:20:00,5,6,2
45,07:00:00,09:00:00,10,9,1
46,07:00:00,09:45:00,0,11,1
47,07:00:00,08:45:00,2,0,1
48,07:00:00,08:05:00,10,9,1
49,07:00:00,08:00:00,10,13,1
50,07:00:00,09:10:00,6,0,1
51,07:00:00,10:55:00,6,13,1
52,07:00:00,08:35:00,5,13,1
53,07:00:00,10:50:00,9,8,1
54,07:00:00,09:00:00,6,12,1
55,07:00:00,10:15:00,0,4,1
56,07:00:00,08:10:00,12,4,1
57,07:00:00,09:55:00,11,3,1
58,07:00:00,08:25:00,13,1,1
59,07:00:00,09:40:00,8,6,1
60,09:25:00,10:55:00,5,2,2
61,07:00:00,09:50:00,9,0,2
62,07:00:00,08:45:00,13,0,1
63,07:00:00,09:40:00,5,9,1
64,07:00:00,10:40:00,11,2,1
65,07:40:00,09:25:00,8,13,1
66,07:00:00,08:55:00,7,2,2
67,07:00:00,09:05:00,10,9,1
68,07:00:00,09:00:00,3,11,1
69,07:35:00,10:00:00,1,12,1
70,07:00:00,09:45:00,12,10,2
71,07:00:00,08:35:00,2,7,2
72,07:00:00,08:40:00,4,3,1
73,07:00:00,08:20:00,7,8,1
74,07:00:00,09:25:00,10,9,2
75,07:00:00,09:25:00,6,3,1
76,07:00:00,09:35:00,11,1,1
77,07:00:00,08:40:00,13,3,1
78,07:00:00,10:45:00,5,9,1
79,07:35:00,09:55:00,1,2,2
80,07:00:00,09:25:00,9,1,1
81,07:00:00,09:15:00,7,8,2
82,07:00:00,08:05:00,10,2,1
83,07:00:00,10:45:00,3,5,1
84,07:00:00,10:10:00,10,6,1
85,07:00:00,08:00:00,12,2,1
86,07:00:00,09:00:00,2,3,1
87,07:10:00,11:00:00,2,9,1
88,07:00:00,08:00:00,12,11,2
89,07:00:00,08:00:00,2,10,1
90,09:30:00,10:35:00,7,5,1
91,07:00:00,08:30:00,2,13,1
92,07:00:00,10:15:00,8,4,1
93,07:00:00,11:00:00,0,13,1
94,09:40:00,10:55:00,6,9,1
95,07:00:00,09:15:00,0,4,1
96,07:00:00,09:00:00,12,3,1
97,07:00:00,10:20:00,12,11,1
98,07:00:00,09:50:00,8,5,1
99,07:00:00,10:10:00,0,5,1
100,07:00:00,09:20:00,2,4,1
101,07:00:00,08:30:00,13,12,2
102,07:00:00,09:50:00,12,9,1
103,07:00:00,08:35:00,0,11,2
104,07:00:00,08:55:00,2,6,1
105,07:00:00,10:10:00,0,11,1
106,07:00:00,09:35:00,3,4,2
107,07:00:00,09:50:00,2,9,1
108,07:00:00,10:00:00,7,13,1
109,07:00:00,09:45:00,3,0,1
110,07:35:00,10:50:00,9,8,2
111,07:00:00,10:45:00,2,4,1
112,09:10:00,10:15:00,13,1,2
113,07:30:00,10:10:00,5,6,2
114,07:00:00,08:50:00,1,3,1
115,07:00:00,10:50:00,6,4,2
116,07:00:00,08:50:00,13,2,1
117,07:00:00,08:20:00,5,3,1
118,07:00:00,09:10:00,3,7,1
119,08:10:00,10:50:00,11,10,1
