id, arrivalTime, startTime, pickUp, dropOff, amount
0,07:00:00,14:55:00,11,16,1
1,07:00:00,10:25:00,0,27,1
2,07:00:00,17:00:00,11,2,1
3,07:00:00,15:20:00,17,16,1
4,07:00:00,12:10:00,7,13,1
5,07:00:00,10:55:00,10,0,1
6,08:15:00,15:20:00,24,10,2
7,09:50:00,13:35:00,27,10,2
8,07:25:00,14:20:00,20,7,2
9,07:00:00,12:35:00,3,8,1
10,07:00:00,11:00:00,6,23,1
11,07:00:00,09:50:00,10,6,1
12,07:00:00,12:20:00,21,2,2
13,07:00:00,16:35:00,13,27,1
14,10:15:00,14:30:00,27,8,1
15,07:00:00,10:15:00,21,11,2
16,07:00:00,08:35:00,26,7,1
17,07:00:00,13:30:00,18,4,1
18,07:00:00,11:20:00,7,0,1
19,07:00:00,13:05:00,26,13,1
20,07:00:00,12:40:00,17,13,1
21,08:20:00,15:55:00,11,18,1
22,07:00:00,09:20:00,7,15,1
23,07:00:00,08:20:00,23,7,1
24,07:00:00,09:05:00,1,12,1
25,07:15:00,11:10:00,13,25,1
26,07:00:00,08:25:00,7,27,1
27,07:00:00,14:10:00,2,20,1
28,07:00:00,08:45:00,6,8,2
29,07:30:00,16:25:00,11,10,1
30,07:00:00,12:10:00,1,6,1
31,07:00:00,09:40:00,9,7,2
32,07:00:00,11:10:00,10,24,1
33,07:00:00,16:20:00,13,11,1
34,07:00:00,10:30:00,24,12,1
35,07:00:00,12:00:00,19,8,1
36,07:00:00,08:50:00,3,15,1
37,07:00:00,09:50:00,22,18,1
38,07:00:00,11:40:00,3,20,1
39,07:00:00,09:05:00,4,23,1
40,07:00:00,12:45:00,16,9,1
41,07:00:00,15:55:00,3,24,1
42,08:55:00,16:45:00,27,19,1
43,07:10:00,09:05:00,21,26,1
44,09:45:00,14:45:00,24,17,1
45,08:40:00,13:15:00,8,6,1
46,07:00:00,13:20:00,20,4,1
47,07:00:00,11:35:00,3,0,1
48,07:00:00,17:00:00,9,7,1
49,12:50:00,14:05:00,14,8,1
50,13:25:00,14:50:00,3,7,1
51,07:00:00,12:55:00,20,13,2
52,07:00:00,16:25:00,9,11,1
53,07:00:00,17:00:00,15,19,1
54,10:45:00,16:20:00,3,17,2
55,07:00:00,16:20:00,19,27,1
56,07:55:00,12:30:00,19,1,1
57,07:00:00,14:35:00,3,1,1
58,07:00:00,14:30:00,19,26,1
59,07:00:00,08:00:00,24,3,1
60,07:40:00,09:10:00,9,13,1
61,07:00:00,14:05:00,8,0,1
62,07:00:00,10:20:00,26,4,1
63,07:00:00,08:10:00,17,0,1
64,07:00:00,13:15:00,24,15,1
65,07:00:00,16:40:00,9,14,1
66,07:00:00,10:10:00,5,2,2
67,08:50:00,10:25:00,11,1,1
68,07:00:00,13:10:00,16,5,1
69,10:20:00,14:10:00,25,0,2
70,07:00:00,10:45:00,16,12,1
71,07:35:00,11:50:00,11,17,1
72,07:00:00,10:45:00,17,20,1
73,12:25:00,13:30:00,4,15,1
74,14:35:00,16:20:00,12,7,2
75,11:05:00,13:15:00,22,21,1
76,07:00:00,08:05:00,13,11,1
77,07:00:00,10:50:00,16,18,1
78,12:50:00,14:40:00,12,18,1
79,07:00:00,08:55:00,5,4,1
80,07:00:00,11:35:00,16,7,1
81,09:45:00,11:30:00,3,8,1
82,07:00:00,13:10:00,26,15,1
83,13:55:00,15:55:00,18,13,2
84,07:00:00,09:40:00,3,13,1
85,07:00:00,09:50:00,18,15,2
86,07:00:00,08:50:00,22,20,1
87,07:00:00,12:30:00,8,27,2
88,07:00:00,11:30:00,24,3,1
89,07:00:00,11:30:00,10,20,1
90,07:00:00,11:25:00,23,24,1
91,07:00:00,08:30:00,18,14,1
92,07:00:00,10:15:00,9,8,1
93,07:00:00,13:55:00,26,0,1
94,07:00:00,10:05:00,18,21,1
95,07:00:00,08:50:00,19,0,1
96,07:00:00,11:20:00,14,13,1
97,11:50:00,12:50:00,17,5,1
98,07:00:00,11:10:00,16,10,1
99,07:00:00,14:50:00,1,10,1
100,07:00:00,11:00:00,8,24,3
101,07:00:00,13:50:00,12,23,1
102,12:20:00,16:10:00,7,5,1
103,07:00:00,10:55:00,19,5,1
104,07:00:00,10:50:00,25,17,1
105,07:00:00,10:35:00,15,21,2
106,07:35:00,10:10:00,16,20,1
107,07:00:00,10:35:00,2,8,3
108,07:00:00,10:25:00,22,13,2
109,07:55:00,09:55:00,11,21,1
110,09:35:00,16:30:00,12,8,2
111,08:55:00,11:40:00,2,21,1
112,07:00:00,08:50:00,4,15,1
113,07:00:00,11:15:00,17,22,1
114,07:00:00,09:30:00,9,7,1
115,13:40:00,14:45:00,26,18,1
116,07:00:00,09:20:00,8,13,1
117,07:00:00,14:45:00,26,15,1
118,07:35:00,15:00:00,2,19,1
119,07:00:00,12:25:00,24,20,1
120,07:00:00,08:05:00,4,3,1
121,07:00:00,09:20:00,25,2,1
122,07:00:00,12:15:00,2,6,2
123,07:00:00,13:05:00,20,6,1
124,07:15:00,12:20:00,24,6,1
125,07:00:00,12:40:00,13,25,1
126,07:00:00,12:55:00,20,9,1
127,07:00:00,12:35:00,20,0,2
128,07:00:00,15:35:00,23,24,1
