id, arrivalTime, startTime, pickUp, dropOff, amount
0,07:00:00,09:35:00,24,23,1
1,07:00:00,09:00:00,4,10,2
2,07:00:00,08:15:00,5,16,1
3,07:00:00,08:05:00,17,6,2
4,07:00:00,10:30:00,10,0,1
5,07:00:00,10:45:00,27,4,1
6,07:00:00,08:50:00,22,25,1
7,07:00:00,08:20:00,23,20,1
8,07:00:00,08:30:00,4,6,1
9,07:15:00,09:40:00,14,3,1
10,07:00:00,10:45:00,6,7,1
11,08:20:00,09:45:00,22,10,1
12,07:05:00,10:30:00,23,11,1
13,07:00:00,10:20:00,15,9,1
14,07:00:00,10:45:00,27,24,2
15,07:00:00,08:00:00,0,26,1
16,07:00:00,08:50:00,20,26,1
17,07:40:00,10:10:00,21,6,1
18,07:40:00,09:05:00,7,16,1
19,07:00:00,09:25:00,23,27,1
20,07:00:00,08:20:00,13,17,1
21,07:00:00,10:10:00,11,20,1
22,07:00:00,10:05:00,26,11,1
23,07:40:00,10:25:00,10,19,3
24,07:00:00,09:20:00,0,26,1
25,07:00:00,09:35:00,19,17,1
26,07:00:00,09:15:00,5,12,1
27,07:10:00,10:30:00,26,24,1
28,07:00:00,08:00:00,11,6,1
29,07:00:00,10:05:00,26,2,1
30,07:00:00,11:00:00,5,1,1
31,07:00:00,08:05:00,2,16,2
32,07:00:00,10:55:00,1,17,2
33,07:00:00,09:00:00,2,7,1
34,07:00:00,10:15:00,15,21,1
35,07:00:00,10:05:00,7,5,1
36,07:00:00,08:40:00,22,5,1
37,07:00:00,10:45:00,7,15,1
38,07:00:00,08:20:00,15,6,1
39,07:00:00,09:45:00,16,20,1
40,07:00:00,08:10:00,10,20,1
41,07:00:00,08:30:00,27,23,1
42,07:00:00,10:10:00,3,12,1
43,08:30:00,10:10:00,21,24,1
44,07:00:00,10:25:00,21,19,1
45,07:00:00,08:25:00,23,4,1
46,07:00:00,08:35:00,25,11,2
47,07:00:00,09:35:00,3,22,2
48,07:00:00,10:00:00,4,23,1
49,07:00:00,08:15:00,6,27,1
50,07:00:00,10:25:00,9,19,2
51,07:00:00,08:25:00,18,5,1
52,07:00:00,08:35:00,7,16,1
53,07:00:00,10:55:00,26,10,2
54,07:00:00,08:15:00,15,11,1
55,07:00:00,10:55:00,0,12,1
56,07:00:00,10:30:00,26,3,1
57,07:00:00,10:25:00,27,25,1
58,07:00:00,09:35:00,13,14,1
59,08:40:00,10:15:00,2,15,1
60,07:00:00,09:20:00,4,10,1
61,08:25:00,10:30:00,11,27,1
62,07:55:00,09:45:00,11,25,1
63,07:05:00,10:00:00,2,20,1
64,07:00:00,09:40:00,9,2,1
65,09:20:00,10:20:00,27,13,1
66,07:00:00,09:10:00,8,6,1
67,07:00:00,10:00:00,23,11,1
68,07:00:00,08:05:00,24,22,1
69,08:35:00,09:55:00,12,19,1
70,07:00:00,08:00:00,3,4,1
71,07:00:00,09:10:00,10,6,1
72,07:00:00,11:00:00,26,3,1
73,07:00:00,08:25:00,26,18,1
74,07:00:00,09:55:00,25,24,1
75,07:00:00,08:55:00,19,22,1
76,07:00:00,08:30:00,26,7,2
77,07:00:00,08:50:00,21,13,2
78,07:00:00,08:50:00,19,22,1
79,07:00:00,09:35:00,2,26,1
