number,stop ID,arrival time,departure time,pick up users,drop of users
1,22,07:00:00,08:20:53,[],[]
2,16,08:22:11,08:24:11,['6'],[]
3,14,08:27:59,08:30:00,"['12', '18']",[]
4,13,08:31:50,08:33:50,['25'],[]
5,12,08:35:40,08:37:41,[],['6']
6,11,08:40:27,08:42:27,[],"['25', '18']"
7,8,08:45:46,08:47:47,[],['12']
8,11,08:51:06,08:53:07,['34'],[]
9,15,08:59:01,09:01:01,['14'],[]
10,6,09:04:20,09:35:00,"['22', '20']","['14', '34']"
11,14,09:39:58,09:41:58,[],['20']
12,13,09:43:48,09:45:49,[],['22']
13,12,09:47:39,10:16:16,['32'],[]
14,11,10:19:02,10:29:06,['43'],[]
15,10,10:31:52,10:33:53,[],"['43', '32']"
16,9,10:34:48,10:36:48,['7'],[]
17,13,10:42:59,10:45:00,['13'],[]
18,14,10:46:50,10:54:30,[],['13']
19,16,10:58:18,11:02:06,['37'],['7']
20,6,11:03:24,11:19:09,[],['37']
21,22,11:19:08,19:00:00,[],[]
