number,stop ID,arrival time,departure time,pick up users,drop of users
1,22,07:00:00,08:12:23,[],[]
2,16,08:13:41,08:15:41,['6'],[]
3,14,08:19:29,08:30:00,"['12', '18']",[]
4,13,08:31:50,08:33:50,['25'],[]
5,12,08:35:40,08:37:41,[],['6']
6,11,08:40:27,08:42:27,[],"['25', '18']"
7,8,08:45:46,08:47:47,[],['12']
8,11,08:51:06,08:53:07,['34'],[]
9,15,08:59:01,09:01:01,['14'],[]
10,6,09:04:20,09:35:00,"['22', '20']","['14', '34']"
11,14,09:39:58,09:41:58,[],['20']
12,13,09:43:48,09:45:49,[],['22']
13,12,09:47:39,10:05:00,['32'],[]
14,11,10:07:46,10:15:00,['43'],[]
15,10,10:17:46,10:19:46,[],"['43', '32']"
16,9,10:20:41,10:35:00,['7'],[]
17,13,10:41:11,10:43:11,['13'],[]
18,14,10:45:01,10:47:02,[],['13']
19,16,10:50:50,10:58:07,['37'],['7']
20,6,10:59:25,11:04:09,[],['37']
21,22,11:04:08,19:00:00,[],[]
