number,stop ID,arrival time,departure time,pick up users,drop of users
1,28,07:00:00,07:54:45,[],[]
2,1,08:03:03,08:05:03,['19'],[]
3,0,08:13:21,08:15:22,[],['19']
4,1,08:23:40,09:51:49,['3'],[]
5,2,09:56:25,09:58:26,['47'],[]
6,3,10:03:02,10:26:30,"['25', '0']","['47', '3']"
7,1,10:35:43,10:43:54,[],"['25', '0']"
8,5,10:57:59,11:00:00,['14'],[]
9,6,11:00:55,11:02:55,[],['14']
10,2,11:12:43,12:35:00,['43'],[]
11,3,12:39:36,12:41:36,[],['43']
12,1,12:50:49,13:00:00,['8'],[]
13,0,13:08:18,13:10:18,[],['8']
14,28,13:10:17,19:00:00,[],[]
