number,stop ID,arrival time,departure time,pick up users,drop of users
1,28,07:00:00,08:39:51,[],[]
2,19,09:02:58,09:04:59,['16'],[]
3,4,09:17:17,09:19:18,[],['16']
4,20,09:37:51,09:56:28,['46'],[]
5,19,10:02:59,10:05:00,['13'],[]
6,17,10:11:39,10:13:39,[],['46']
7,4,10:20:10,10:22:11,[],['13']
8,19,10:34:29,10:45:00,['28'],[]
9,4,10:57:18,11:04:28,"['5', '44']",[]
10,15,11:12:58,11:18:42,[],"['5', '44']"
11,14,11:23:18,11:25:18,[],['28']
12,0,11:32:41,11:49:08,"['21', '2']",[]
13,19,12:12:15,12:14:16,[],['2']
14,20,12:20:47,12:22:48,[],['21']
15,0,12:52:08,12:54:08,"['37', '39']",[]
16,17,13:15:01,13:17:01,[],['39']
17,19,13:23:40,13:25:41,[],['37']
18,28,13:48:48,19:00:00,[],[]
