number,stop ID,arrival time,departure time,pick up users,drop of users
1,15,07:00:00,08:22:00,[],[]
2,4,08:47:59,08:50:00,"['47', '22', '3']",[]
3,3,08:59:13,09:01:13,[],"['47', '22']"
4,0,09:18:03,09:20:04,"['23', '45', '36']",['3']
5,1,09:26:15,09:28:16,[],['23']
6,2,09:33:48,09:35:48,[],['45']
7,4,09:50:34,10:14:04,['13'],['36']
8,3,10:23:17,10:25:18,['11'],['13']
9,0,10:42:08,10:45:37,"['28', '5']",['11']
10,4,11:11:36,11:13:37,['18'],"['28', '5']"
11,2,11:28:23,11:41:31,['1'],[]
12,0,11:52:56,11:54:56,[],"['1', '18']"
13,1,12:01:07,12:03:08,['20'],[]
14,0,12:09:19,12:11:19,['32'],['20']
15,1,12:17:30,14:00:00,['48'],['32']
16,0,14:06:11,14:18:10,[],['48']
17,15,14:18:09,19:00:00,[],[]
