number,stop ID,arrival time,departure time,pick up users,drop of users
1,32,07:00:00,09:20:19,[],[]
2,0,09:20:19,09:22:19,['12'],[]
3,1,09:25:38,09:27:38,[],['12']
4,2,09:28:33,09:35:00,['36'],[]
5,6,09:43:45,09:50:01,['24'],['36']
6,5,09:51:51,09:53:52,['11'],[]
7,3,09:57:33,10:01:56,[],['24']
8,0,10:09:45,10:11:46,['42'],['11']
9,1,10:15:05,10:20:00,['15'],[]
10,2,10:20:55,10:22:55,[],['42']
11,3,10:26:49,10:35:00,['1'],['15']
12,0,10:42:49,10:52:32,['4'],['1']
13,17,11:06:15,11:08:16,[],['4']
14,0,11:21:59,11:23:59,['0'],[]
15,3,11:31:48,11:33:49,[],['0']
16,32,11:41:38,19:00:00,[],[]
