number,stop ID,arrival time,departure time,pick up users,drop of users
1,33,07:00:00,08:08:54,[],[]
2,8,08:17:59,08:20:00,['40'],[]
3,11,08:23:19,08:30:00,['43'],[]
4,13,08:34:36,08:36:36,[],['40']
5,14,08:38:26,08:47:52,[],['43']
6,15,08:49:42,09:00:00,['31'],[]
7,13,09:03:41,09:05:41,[],['31']
8,10,09:11:03,09:13:04,['30'],[]
9,6,09:20:30,09:24:03,"['28', '44']",['30']
10,13,09:30:46,09:32:47,[],['28']
11,12,09:34:37,09:38:52,[],['44']
12,15,09:42:59,09:45:00,['24'],[]
13,6,09:48:19,09:50:19,['26'],['24']
14,16,09:51:37,09:53:38,[],['26']
15,15,09:55:41,09:59:17,['37'],[]
16,16,10:01:20,10:03:21,[],['37']
17,6,10:04:39,10:06:39,['11'],[]
18,13,10:13:22,10:15:22,['25'],[]
19,8,10:22:23,10:24:24,[],['11']
20,0,10:34:02,10:36:12,['17'],['25']
21,8,10:45:50,10:47:50,[],['17']
22,7,10:50:36,10:53:12,['16'],[]
23,14,11:00:38,11:02:39,['0'],[]
24,15,11:04:29,11:06:30,[],['16']
25,6,11:09:49,11:20:32,['3'],['0']
26,16,11:21:50,11:23:52,[],['3']
27,33,11:25:10,19:00:00,[],[]
