user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,[19],"[3, 11]",2.0,14.769,16.75,1
1,-,-,-,-,35.45,2
2,-,-,-,-,17.4,2
3,"[18, 19]","[2, 3, 12]",6.0,26.997,30.83,2
4,[29],"[9, 10]",2.0,3.328,5.32,1
5,[28],"[3, 2]",2.0,4.615,6.6,1
6,"[28, 29]","[0, 3, 12]",4.0,34.649,33.32,1
7,"[29, 18]","[11, 3, 2]",5.6,19.385,23.37,2
8,[19],"[10, 3]",2.0,13.054,15.03,1
9,-,-,-,-,23.38,1
10,"[28, 29]","[1, 3, 13]",27.4,31.526,35.45,2
11,-,-,-,-,33.83,2
12,[19],"[13, 9]",4.0,15.833,14.12,1
13,[29],"[9, 3]",2.0,10.154,12.13,1
14,"[18, 29]","[6, 3, 9]",16.0,18.964,21.75,2
15,[18],"[1, 4]",2.0,13.846,15.83,1
16,[29],"[9, 12]",2.0,12.141,14.12,1
17,[28],"[0, 1]",2.0,8.308,10.28,1
18,-,-,-,-,23.38,1
19,"[28, 29]","[6, 3, 7]",4.0,17.116,21.1,2
20,[29],"[11, 10]",2.0,2.611,4.6,1
21,"[18, 19]","[2, 3, 7]",15.4,14.119,18.12,2
22,[29],"[0, 8]",2.0,16.641,18.62,1
23,"[28, 29]","[6, 3, 10]",15.2,21.864,24.63,2
24,"[28, 29]","[2, 3, 9]",19.9,14.769,18.75,2
25,[29],"[10, 9]",2.0,3.328,5.32,1
26,-,-,-,-,35.45,2
27,"[28, 19]","[3, 0, 7]",10.5,17.034,11.5,1
28,[29],"[10, 11]",2.0,2.611,4.6,1
29,"[28, 19]","[4, 3, 7]",4.0,14.119,18.12,2
30,-,-,-,-,5.67,1
31,[29],"[12, 8]",2.0,16.718,18.72,1
32,[29],"[11, 13]",4.0,11.304,9.6,1
33,"[29, 18]","[9, 3, 5]",12.7,22.381,22.02,2
34,[28],"[4, 2]",4.0,9.231,11.22,1
35,"[28, 29]","[2, 3, 11]",4.0,19.385,23.37,2
36,"[29, 28]","[12, 3, 0]",10.0,34.714,33.33,1
37,-,-,-,-,16.58,1
38,"[18, 19]","[4, 3, 9]",19.9,14.769,18.75,2
39,"[28, 19]","[4, 3, 7]",23.0,14.119,18.12,2
40,-,-,-,-,23.37,2
41,[18],"[2, 6]",4.0,12.227,11.78,1
42,[19],"[13, 11]",2.0,7.612,9.6,1
43,"[28, 29]","[1, 3, 8]",9.2,14.769,18.75,2
44,"[18, 29]","[4, 3, 12]",21.2,26.997,30.83,2
45,"[18, 29]","[2, 3, 7]",23.0,14.119,18.12,2
46,[18],"[3, 5]",2.0,7.887,9.87,1
47,"[18, 19]","[2, 3, 12]",4.0,26.846,30.83,2
48,[29],"[13, 12]",2.0,3.692,5.67,1
49,[28],"[5, 0]",4.7,20.306,21.75,1
50,[19],"[7, 3]",2.0,9.504,11.5,1
51,-,-,-,-,24.63,2
52,"[18, 29]","[5, 3, 11]",21.2,26.997,26.63,2
53,"[28, 29]","[0, 3, 8]",11.2,23.077,18.62,1
54,[29],"[13, 10]",2.0,9.942,11.92,1
55,"[29, 28]","[12, 3, 6]",22.6,29.843,33.83,2
56,[29],"[9, 3]",4.0,10.154,12.13,1
57,[19],"[9, 10]",2.0,3.328,5.32,1
58,"[18, 29]","[5, 3, 8]",11.2,13.425,17.4,2
59,[19],"[9, 11]",2.0,4.615,6.6,1
60,"[29, 28]","[8, 3, 1]",22.5,14.769,18.75,2
61,[19],"[12, 3]",17.8,22.285,24.22,1
62,"[28, 29]","[0, 3, 13]",12.0,36.5,34.38,1
63,[28],"[0, 1]",2.0,8.308,10.28,1
64,[18],"[0, 6]",6.0,21.229,21.2,1
65,"[18, 19]","[6, 3, 7]",11.1,17.116,21.1,2
66,[29],"[10, 12]",9.1,10.223,11.22,1
67,[19],"[9, 0]",12.8,24.273,22.62,1
68,"[18, 19]","[2, 3, 7]",15.4,14.119,18.12,2
69,[28],"[1, 2]",2.0,4.615,6.6,1
70,-,-,-,-,30.83,2
71,-,-,-,-,23.37,2
72,"[28, 19]","[4, 3, 12]",9.0,26.846,30.83,2
73,[18],"[1, 6]",16.4,16.843,15.28,1
74,[18],"[2, 3]",2.0,4.615,6.6,1
75,"[18, 19]","[2, 3, 9]",18.6,14.769,18.75,2
76,-,-,-,-,30.83,2
77,"[19, 18]","[13, 3, 4]",15.3,30.603,30.83,2
78,"[29, 18]","[8, 3, 5]",22.8,13.425,17.4,2
79,[18],"[1, 3]",17.9,9.231,11.22,1
80,"[19, 18]","[12, 3, 5]",10.3,30.117,34.1,2
81,[19],"[7, 3]",2.0,9.504,11.5,1
82,-,-,-,-,21.65,2
83,-,-,-,-,33.83,2
84,"[19, 28]","[13, 3, 4]",16.1,26.997,30.83,2
85,-,-,-,-,14.13,2
86,[18],"[0, 4]",4.0,17.034,18.12,1
87,"[19, 28]","[7, 0, 4]",4.0,20.763,18.12,2
88,[28],"[5, 3]",9.4,12.227,9.87,1
89,[19],"[10, 13]",2.0,9.942,11.92,1
90,"[19, 18]","[11, 3, 6]",10.1,23.579,26.37,2
91,[18],"[6, 2]",2.0,9.812,11.78,1
92,[28],"[0, 3]",4.0,17.538,14.4,1
93,"[28, 19]","[4, 3, 12]",9.0,26.846,30.83,2
94,[19],"[8, 9]",2.0,4.615,6.6,1
95,-,-,-,-,23.38,1
96,"[19, 18]","[12, 3, 6]",22.2,34.797,33.83,2
97,"[19, 28]","[7, 0, 5]",6.0,28.375,21.37,2
98,[29],"[11, 9]",2.0,4.615,6.6,1
99,[18],"[6, 3]",4.9,8.81,9.6,1
