number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,09:16:46,['51'],[]
2,4,09:29:41,10:05:38,['15'],['51']
3,6,10:14:20,10:17:00,['72'],['15']
4,8,10:24:13,10:28:04,['56'],['72']
5,7,10:33:27,10:35:27,[],['56']
6,6,10:38:13,11:21:04,['79'],[]
7,4,11:29:46,11:32:42,[],['79']
8,6,11:41:24,13:37:00,['62'],[]
9,7,13:39:46,13:41:46,[],['62']
10,8,13:47:09,15:33:14,['35'],[]
11,4,15:46:09,15:48:09,['40'],['35']
12,8,16:01:04,16:03:04,['78'],['40']
13,7,16:08:27,16:10:27,[],['78']
14,8,16:15:50,16:57:28,"['28', '25']",[]
15,7,17:02:51,17:04:51,['19'],[]
16,6,17:07:37,17:09:37,[],"['25', '19']"
17,4,17:18:19,17:28:07,[],['28']
18,8,17:41:02,17:43:02,['16'],[]
19,7,17:48:25,17:50:25,[],['16']
20,8,17:55:48,19:00:00,[],[]
