number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,08:24:28,[],[]
2,22,08:30:00,08:32:00,['44'],[]
3,21,08:37:32,08:50:28,"['12', '5']",['44']
4,23,09:04:48,09:06:48,[],['12']
5,24,09:10:43,09:12:43,[],['5']
6,13,09:19:45,10:12:01,['10'],[]
7,23,10:18:40,10:20:40,[],['10']
8,24,10:24:35,10:41:11,['19'],[]
9,13,10:48:13,10:50:13,['14'],['19']
10,21,11:03:56,11:05:56,"['46', '20']",['14']
11,22,11:11:28,11:13:28,[],['46']
12,23,11:22:33,11:24:33,[],['20']
13,21,11:38:53,19:00:00,[],[]
