number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,07:54:14,[],[]
2,9,08:05:00,08:07:00,['69'],[]
3,0,08:26:28,08:28:28,[],['69']
4,12,08:42:19,10:02:00,['55'],[]
5,14,10:08:43,10:13:35,[],['55']
6,13,10:17:17,10:19:17,['15'],[]
7,12,10:26:00,10:47:00,['10'],[]
8,4,11:02:46,11:04:46,"['59', '38', '80']","['15', '10']"
9,11,11:15:34,11:17:34,[],"['59', '80']"
10,13,11:29:15,11:31:15,[],['38']
11,0,11:42:24,11:55:25,['43'],[]
12,13,12:06:34,12:17:00,['16'],[]
13,12,12:23:43,12:25:43,[],['16']
14,9,12:31:33,12:57:27,['45'],['43']
15,14,13:10:00,13:12:00,['9'],['45']
16,11,13:23:05,13:25:05,[],['9']
17,8,13:38:48,14:03:47,"['62', '42']",[]
18,9,14:14:33,14:16:33,['26'],['62']
19,10,14:22:28,14:24:28,[],['26']
20,11,14:30:00,14:32:00,['54'],[]
21,12,14:36:58,14:54:14,['20'],"['54', '42']"
22,11,14:59:12,15:01:12,[],['20']
23,9,15:05:00,15:07:00,"['12', '35']",[]
24,10,15:12:55,15:22:00,['66'],[]
25,0,15:44:12,15:58:51,[],"['66', '12', '35']"
26,13,16:10:00,16:12:00,['24'],[]
27,11,16:23:41,16:25:41,[],['24']
28,0,16:42:39,17:17:00,['81'],[]
29,9,17:36:28,17:58:28,[],['81']
30,8,18:09:14,19:00:00,[],[]
