number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,08:29:46,['48'],[]
2,4,08:42:41,09:23:14,"['29', '44']",['48']
3,7,09:34:23,09:36:23,[],"['29', '44']"
4,8,09:41:46,10:02:22,"['54', '75']",[]
5,6,10:09:35,10:11:35,[],['75']
6,5,10:17:30,10:19:30,[],['54']
7,4,10:23:12,10:25:12,"['18', '22']",[]
8,6,10:33:54,10:52:00,['64'],"['18', '22']"
9,7,10:54:46,10:57:00,"['1', '63']",[]
10,8,11:02:23,11:04:23,[],"['1', '64', '63']"
11,7,11:09:46,12:52:00,['73'],[]
12,8,12:57:23,13:24:14,['7'],['73']
13,4,13:37:09,13:57:00,"['12', '16']",['7']
14,8,14:09:55,19:00:00,[],"['12', '16']"
