number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,08:14:37,[],[]
2,7,08:20:00,08:22:00,['0'],[]
3,5,08:29:56,08:31:56,[],['0']
4,4,08:35:38,08:58:46,['18'],[]
5,8,09:11:41,09:55:56,"['15', '7']",['18']
6,6,10:03:09,10:05:09,['3'],[]
7,5,10:11:04,10:13:04,[],"['15', '7']"
8,4,10:16:46,10:21:18,[],['3']
9,6,10:30:00,10:32:00,['4'],[]
10,5,10:37:55,10:39:55,['10'],[]
11,4,10:43:37,10:45:37,[],"['4', '10']"
12,8,10:58:32,11:39:55,['1'],[]
13,7,11:45:18,11:47:18,[],['1']
14,8,11:52:41,19:00:00,[],[]
