number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:40:22,[],[]
2,1,08:45:00,08:47:00,['37'],[]
3,2,08:48:17,08:57:00,['44'],[]
4,6,09:09:12,09:11:12,[],['44']
5,20,09:16:57,09:20:37,[],['37']
6,17,09:27:03,09:29:03,['49'],[]
7,6,09:31:55,09:33:55,['38'],['49']
8,0,09:51:10,09:53:10,['6'],['38']
9,2,09:58:37,10:00:37,"['55', '48']",[]
10,6,10:12:49,10:14:49,['1'],"['6', '55', '48']"
11,18,10:17:41,10:19:41,[],['1']
12,6,10:22:33,10:49:51,"['40', '35']",[]
13,5,10:52:25,10:54:25,[],['35']
14,3,10:59:34,11:01:34,['39'],[]
15,2,11:07:01,11:09:01,[],"['40', '39']"
16,1,11:10:18,11:57:00,['30'],[]
17,6,12:10:25,12:16:33,"['3', '47']",['30']
18,17,12:19:25,12:21:25,[],['47']
19,20,12:27:51,12:29:51,[],['3']
20,6,12:35:36,13:12:00,['18'],[]
21,19,13:14:52,13:16:52,[],['18']
22,17,13:20:56,13:27:00,['56'],[]
23,6,13:29:52,13:34:02,"['15', '66', '23']",['56']
24,4,13:37:53,13:39:53,[],['66']
25,2,13:48:30,14:01:00,[],"['15', '23']"
26,5,14:10:48,14:17:00,['64'],[]
27,2,14:26:48,14:28:48,[],['64']
28,0,14:34:15,14:50:51,['13'],[]
29,1,14:55:29,14:57:29,['21'],[]
30,3,15:03:55,15:05:55,[],['21']
31,5,15:11:04,15:16:16,[],['13']
32,19,15:20:54,15:57:00,['25'],[]
33,6,15:59:52,16:17:00,['53'],['25']
34,4,16:20:51,16:22:51,['22'],['53']
35,6,16:26:42,16:28:42,['8'],[]
36,19,16:31:34,16:33:34,[],"['8', '22']"
37,17,16:37:38,16:39:38,['58'],[]
38,6,16:42:30,16:44:30,"['26', '65']",['58']
39,18,16:47:22,16:49:22,[],['65']
40,19,16:51:11,16:53:44,[],['26']
41,1,17:09:16,17:12:00,['16'],[]
42,4,17:21:48,17:39:48,[],['16']
43,0,17:53:42,19:00:00,[],[]
