number,stop ID,arrival time,departure time,pick up users,drop of users
1,6,07:00:00,08:33:11,[],[]
2,16,08:35:00,08:37:00,['42'],[]
3,7,08:47:17,08:49:17,[],['42']
4,10,08:53:55,09:27:00,"['41', '48']",[]
5,13,09:34:30,09:36:30,[],['41']
6,6,09:45:52,10:09:02,"['5', '34']",['48']
7,8,10:21:42,10:23:42,[],['5']
8,10,10:26:16,10:28:16,['13'],[]
9,7,10:32:54,10:34:54,[],['34']
10,0,10:44:42,10:46:42,[],['13']
11,8,11:00:07,11:02:07,['21'],[]
12,11,11:06:45,11:08:45,[],['21']
13,8,11:13:23,11:15:23,"['29', '26']",[]
14,12,11:22:53,11:24:53,['6'],[]
15,6,11:35:15,11:37:15,"['45', '4']","['29', '26', '6']"
16,16,11:39:04,11:41:04,['9'],[]
17,12,11:49:41,11:51:41,[],['9']
18,9,11:58:07,12:00:07,[],['45']
19,8,12:01:24,12:29:56,['23'],['4']
20,6,12:42:36,13:05:30,"['35', '11']",['23']
21,11,13:18:14,13:20:14,['38'],[]
22,10,13:24:05,13:26:05,[],['38']
23,9,13:27:22,13:35:56,[],"['35', '11']"
24,11,13:40:00,13:42:00,['1'],[]
25,9,13:46:04,13:48:04,[],['1']
26,8,13:49:21,13:51:21,['19'],[]
27,12,13:58:51,14:00:51,[],['19']
28,6,14:11:13,19:00:00,[],[]
