number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:17:06,[],[]
2,1,08:21:44,08:23:44,['44'],[]
3,18,08:40:00,08:42:00,['38'],['44']
4,6,08:44:52,09:02:00,['21'],['38']
5,17,09:04:52,09:06:52,[],['21']
6,6,09:09:44,09:14:15,"['27', '14', '47', '34']",[]
7,19,09:17:07,09:19:07,[],['14']
8,20,09:21:59,09:23:59,['20'],"['34', '47', '27']"
9,17,09:30:25,09:32:25,['5'],[]
10,6,09:35:17,09:37:17,['16'],"['5', '20']"
11,3,09:45:00,09:47:00,['3'],[]
12,2,09:52:27,10:04:40,[],['16']
13,1,10:05:57,10:07:57,[],['3']
14,6,10:21:22,10:23:22,['30'],[]
15,20,10:29:07,10:32:00,"['46', '1']",['30']
16,6,10:37:45,10:47:26,['15'],[]
17,5,10:50:00,10:52:00,['11'],[]
18,4,10:53:17,10:56:39,[],"['1', '11']"
19,3,11:00:30,11:02:30,[],['46']
20,0,11:13:25,11:20:09,['41'],['15']
21,1,11:24:47,11:26:47,[],['41']
22,0,11:31:25,19:00:00,[],[]
