number,stop ID,arrival time,departure time,pick up users,drop of users
1,6,07:00:00,08:08:09,[],[]
2,31,08:20:00,08:22:00,"['42', '33']",[]
3,6,08:33:51,08:35:51,[],"['42', '33']"
4,29,08:41:36,09:28:25,['44'],[]
5,28,09:37:25,09:39:25,[],['44']
6,17,09:52:16,10:57:59,['9'],[]
7,6,11:00:51,11:57:06,"['31', '6', '52', '53']",['9']
8,31,12:08:57,12:10:57,[],"['31', '53', '6']"
9,28,12:13:31,13:40:23,['3'],['52']
10,31,13:42:57,13:47:00,['63'],[]
11,6,13:58:51,14:21:34,"['65', '47']","['63', '3']"
12,29,14:27:19,14:46:19,[],"['65', '47']"
13,28,14:55:19,15:17:38,"['73', '5', '77']",[]
14,31,15:20:12,15:31:22,[],['73']
15,29,15:37:48,15:39:48,[],['77']
16,6,15:45:33,15:57:53,"['76', '66']",['5']
17,30,16:05:42,16:07:42,[],"['76', '66']"
18,6,16:15:31,16:44:22,['11'],[]
19,29,16:50:07,17:17:00,['29'],['11']
20,6,17:22:45,17:24:45,[],['29']
21,6,17:24:45,19:00:00,[],[]
