number,stop ID,arrival time,departure time,pick up users,drop of users
1,6,07:00:00,08:39:28,"['19', '15']",[]
2,17,08:42:20,08:44:20,[],['15']
3,29,08:48:11,08:59:47,[],['19']
4,31,09:06:13,09:08:13,['31'],[]
5,30,09:12:17,09:14:17,['23'],[]
6,29,09:17:09,09:19:09,['5'],[]
7,6,09:24:54,10:28:38,"['21', '28', '13']","['31', '5', '23']"
8,29,10:34:23,10:36:23,[],['21']
9,31,10:42:49,10:46:22,[],['28']
10,28,10:48:56,11:27:00,['12'],['13']
11,29,11:36:00,12:47:00,['38'],['12']
12,17,12:50:51,13:21:52,['8'],['38']
13,29,13:25:43,13:28:30,['17'],[]
14,31,13:34:56,13:36:56,[],['8']
15,28,13:39:30,13:59:30,"['6', '2']",['17']
16,31,14:02:04,14:04:04,[],['6']
17,6,14:15:55,14:17:55,[],['2']
18,6,14:17:55,19:00:00,[],[]
