number,stop ID,arrival time,departure time,pick up users,drop of users
1,6,07:00:00,08:43:36,[],[]
2,15,08:48:14,08:50:14,['2'],[]
3,16,08:53:06,08:57:00,['16'],[]
4,6,08:58:49,09:05:34,"['3', '19']","['2', '16']"
5,7,09:17:13,09:19:13,[],"['3', '19']"
6,10,09:23:51,09:27:00,['18'],[]
7,6,09:37:22,09:44:17,['11'],['18']
8,13,09:53:39,10:02:00,['12'],[]
9,10,10:09:30,10:11:30,['29'],[]
10,9,10:12:47,10:14:47,[],['11']
11,0,10:28:38,10:43:38,['6'],"['29', '12']"
12,7,10:53:26,10:55:26,['28'],[]
13,8,10:59:17,11:01:17,[],['6']
14,6,11:13:57,11:17:40,[],['28']
15,6,11:17:40,19:00:00,[],[]
