number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:57:31,[],[]
2,8,08:10:00,08:12:00,['50'],[]
3,10,08:17:43,08:19:43,['2'],['50']
4,9,08:22:13,08:24:13,[],['2']
5,3,08:31:50,08:42:00,"['18', '54']",[]
6,8,08:46:09,08:48:09,[],['54']
7,9,08:51:37,09:07:00,['83'],[]
8,12,09:16:06,09:18:06,[],['18']
9,13,09:20:52,09:22:52,['25'],['83']
10,12,09:25:38,09:27:38,[],['25']
11,11,09:33:21,09:43:36,['43'],[]
12,7,10:01:15,10:03:15,[],['43']
13,3,10:10:23,10:49:43,['28'],[]
14,12,11:06:23,11:08:23,[],['28']
15,13,11:11:09,11:13:09,['58'],[]
16,3,11:29:49,11:31:49,"['86', '5']",['58']
17,9,11:39:26,11:41:26,['21'],[]
18,10,11:43:56,11:45:56,['60'],[]
19,11,11:47:53,11:49:53,[],"['21', '60', '5']"
20,13,11:55:36,11:57:36,[],['86']
21,8,12:10:08,12:12:08,['12'],[]
22,3,12:16:17,12:22:28,['80'],['12']
23,0,12:31:47,12:33:47,[],['80']
24,7,12:37:15,13:02:00,"['62', '39']",[]
25,3,13:09:08,13:11:08,"['81', '56']",[]
26,8,13:15:17,13:17:17,['51'],[]
27,10,13:23:00,13:25:00,[],"['62', '56']"
28,11,13:26:57,13:28:57,[],"['81', '51']"
29,12,13:34:40,13:37:14,[],['39']
30,13,13:40:00,13:42:00,['17'],[]
31,10,13:49:27,14:05:33,['68'],[]
32,9,14:08:03,14:10:03,"['42', '55']",[]
33,3,14:17:40,15:17:00,"['77', '52']","['68', '42', '55', '17']"
34,8,15:21:09,15:23:09,['87'],['77']
35,10,15:28:52,15:30:52,[],['52']
36,13,15:38:19,15:40:19,[],['87']
37,12,15:43:05,16:17:29,['26'],[]
38,11,16:23:12,16:27:00,['1'],[]
39,10,16:28:57,16:32:00,['15'],[]
40,9,16:34:30,16:36:30,[],"['1', '15']"
41,3,16:44:07,16:46:07,['85'],['26']
42,9,16:53:44,16:55:44,[],['85']
43,8,16:59:12,17:01:12,['63'],[]
44,3,17:05:21,17:07:21,['23'],[]
45,7,17:14:29,17:16:29,[],['23']
46,0,17:19:57,17:21:57,[],['63']
47,0,17:21:57,19:00:00,[],[]
