number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:36:46,[],[]
2,3,08:46:05,08:48:05,['12'],[]
3,1,08:55:00,08:57:00,['49'],['12']
4,3,09:03:55,09:37:00,['9'],['49']
5,0,09:46:19,09:48:19,[],['9']
6,3,09:57:38,09:59:38,"['21', '14']",[]
7,5,10:05:33,10:07:33,[],['14']
8,6,10:08:15,10:22:00,['42'],['21']
9,3,10:27:43,10:32:37,"['36', '39']",['42']
10,4,10:36:05,10:59:05,[],"['36', '39']"
11,3,11:02:33,11:49:55,['30'],[]
12,6,11:55:38,11:57:38,[],['30']
13,3,12:03:21,12:05:21,['8'],[]
14,2,12:08:49,12:22:08,[],['8']
15,3,12:25:36,12:38:09,['11'],[]
16,5,12:44:04,12:46:04,[],['11']
17,1,12:56:38,13:17:12,['38'],[]
18,2,13:20:40,13:32:38,['26'],[]
19,3,13:36:06,13:41:07,"['15', '22', '13']",[]
20,4,13:44:35,13:46:35,[],"['15', '38']"
21,5,13:52:18,13:54:18,[],"['22', '13']"
22,6,13:55:00,13:57:00,['7'],['26']
23,5,13:57:42,13:59:42,[],['7']
24,6,14:00:24,14:17:00,['20'],[]
25,5,14:17:42,14:19:42,[],['20']
26,0,14:34:31,19:00:00,[],[]
