number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:00:36,[],[]
2,6,08:15:00,08:17:00,['16'],[]
3,5,08:17:42,08:19:42,['14'],[]
4,4,08:25:25,08:27:25,['49'],['14']
5,3,08:30:53,09:45:40,"['27', '6']","['49', '16']"
6,5,09:51:35,09:53:35,[],['6']
7,6,09:54:17,10:12:00,"['23', '5', '38']",['27']
8,5,10:12:42,10:14:42,['2'],[]
9,3,10:20:37,10:22:36,[],"['2', '38', '5', '23']"
10,4,10:26:04,10:28:05,"['47', '12']",[]
11,3,10:31:33,10:33:33,['29'],"['47', '12']"
12,5,10:39:28,10:47:00,"['31', '4']",['29']
13,3,10:52:55,10:54:55,['9'],[]
14,2,10:58:23,11:00:23,[],['31']
15,1,11:03:51,11:05:51,[],['9']
16,0,11:12:05,11:14:05,[],['4']
17,0,11:14:05,19:00:00,[],[]
