user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,[24],"[18, 20]",2.0,5.03,7.03,1
1,"[19, 28, 14]","[7, 3, 4, 16]",21.6,14.32,16.88,2
2,"[14, 18]","[19, 4, 0]",10.7,21.35,19.35,1
3,[28],"[3, 1]",2.0,6.92,8.92,1
4,"[24, 28]","[14, 0, 5]",8.0,20.77,17.62,2
5,"[29, 14]","[8, 0, 19]",7.0,29.83,22.85,3
6,[19],"[0, 3]",4.0,10.58,11.32,1
7,"[28, 14]","[5, 4, 18]",4.2,14.72,18.72,2
8,[19],"[11, 12]",2.0,5.72,7.72,1
9,"[28, 24]","[1, 4, 17]",23.0,15.28,19.28,2
10,"[18, 19]","[6, 3, 13]",6.0,22.43,26.38,2
11,[19],"[10, 13]",4.0,9.7,9.45,1
12,-,-,-,-,24.13,2
13,"[24, 28]","[17, 4, 0]",12.8,18.95,17.67,1
14,"[19, 14]","[9, 0, 15]",7.6,24.48,23.47,3
15,-,-,-,-,26.32,3
16,-,-,-,-,24.15,3
17,"[14, 19]","[15, 0, 7]",7.0,12.47,16.47,2
18,"[28, 24]","[3, 4, 17]",21.0,8.35,12.37,2
19,"[28, 24]","[1, 4, 18]",7.9,19.38,23.38,2
20,[19],"[9, 13]",2.0,9.1,11.1,1
21,-,-,-,-,16.1,2
22,-,-,-,-,26.38,2
23,[29],"[13, 11]",2.0,5.72,7.72,1
24,-,-,-,-,28.17,2
25,[19],"[11, 13]",2.0,5.72,7.72,1
26,[19],"[10, 11]",2.0,1.95,3.95,1
27,"[14, 18]","[15, 4, 6]",21.9,12.42,16.3,2
28,[29],"[8, 10]",2.0,5.72,7.72,1
29,"[14, 18]","[16, 4, 6]",4.0,9.65,13.65,2
30,"[29, 28, 24]","[10, 3, 4, 16]",27.0,16.98,22.98,3
31,-,-,-,-,40.05,3
32,[19],"[3, 8]",2.0,4.15,6.15,1
33,[19],"[0, 9]",5.4,16.93,17.48,1
34,"[24, 28, 29]","[17, 4, 3, 9]",21.4,15.97,21.98,3
35,-,-,-,-,17.05,2
36,[24],"[0, 20]",2.0,22.0,24.0,1
37,-,-,-,-,31.0,3
38,[28],"[1, 0]",2.0,6.23,8.23,1
39,"[19, 14]","[11, 0, 16]",13.6,31.7,24.28,3
40,"[24, 28]","[16, 0, 3]",7.9,19.28,11.2,2
41,-,-,-,-,18.92,2
42,[28],"[5, 0]",12.1,22.32,16.82,1
43,"[29, 28]","[12, 3, 2]",5.9,20.13,24.13,2
44,-,-,-,-,18.95,2
45,[14],"[14, 18]",6.0,17.0,17.98,1
46,-,-,-,-,29.87,3
47,"[28, 19]","[2, 3, 12]",24.9,20.18,24.13,2
48,"[18, 19]","[4, 0, 7]",17.0,15.57,14.6,2
49,"[18, 14]","[5, 4, 17]",16.2,10.6,14.62,2
50,"[18, 24]","[6, 4, 19]",19.1,15.15,19.15,2
51,[19],"[10, 0]",4.0,17.98,18.87,1
52,[14],"[4, 16]",2.0,3.73,5.73,1
53,"[14, 28]","[16, 4, 2]",22.0,10.65,14.65,2
54,-,-,-,-,29.47,2
55,[29],"[11, 10]",2.0,1.95,3.95,1
56,[19],"[13, 7]",2.0,23.35,25.35,1
57,"[29, 28]","[9, 3, 6]",13.9,14.22,17.33,2
58,-,-,-,-,29.78,3
59,"[28, 24]","[5, 4, 19]",4.0,14.95,18.95,2
60,[28],"[5, 2]",8.3,12.63,9.83,1
61,-,-,-,-,22.62,3
62,[19],"[13, 9]",2.0,9.1,11.1,1
63,"[28, 14]","[2, 4, 16]",4.0,10.65,14.65,2
64,[19],"[8, 0]",2.0,12.48,14.48,1
65,-,-,-,-,14.53,1
66,"[28, 29]","[4, 3, 11]",22.8,14.53,18.55,2
67,"[29, 28]","[10, 3, 2]",4.0,13.25,17.25,2
68,-,-,-,-,16.1,2
69,"[24, 28]","[15, 4, 1]",8.0,16.77,19.23,2
