number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:15:36,[],[]
2,6,08:30:00,08:32:00,['11'],[]
3,4,08:37:55,09:07:00,"['54', '61']",['11']
4,3,09:10:28,10:27:00,['5'],"['54', '61']"
5,0,10:36:19,11:27:00,['58'],['5']
6,3,11:36:19,11:38:53,['53'],[]
7,4,11:42:21,14:27:00,['2'],"['53', '58']"
8,3,14:30:28,14:32:28,[],['2']
9,5,14:38:23,14:40:23,['14'],[]
10,3,14:46:18,16:09:47,"['87', '16']",['14']
11,4,16:13:15,16:15:15,['25'],['16']
12,5,16:20:58,16:22:58,[],['87']
13,6,16:23:40,16:45:22,['36'],['25']
14,5,16:46:04,16:48:04,['66'],[]
15,3,16:53:59,16:55:59,['39'],"['66', '36']"
16,4,16:59:27,17:01:27,[],['39']
17,0,17:13:34,19:00:00,[],[]
