number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:03:19,[],[]
2,1,08:09:33,08:11:33,['19'],[]
3,0,08:17:47,08:19:47,[],['19']
4,4,08:31:54,09:32:41,['16'],[]
5,3,09:36:09,09:42:00,['11'],['16']
6,4,09:45:28,09:47:28,['31'],['11']
7,3,09:50:56,09:52:56,['1'],[]
8,0,10:02:15,10:24:28,"['0', '25']","['31', '1']"
9,1,10:30:42,10:34:26,[],"['0', '25']"
10,5,10:45:00,10:47:00,['14'],[]
11,6,10:47:42,10:49:42,[],['14']
12,3,10:55:25,11:02:00,['23'],[]
13,4,11:05:28,11:54:29,['20'],['23']
14,3,11:57:57,12:42:00,['18'],['20']
15,4,12:45:28,12:47:28,['32'],['18']
16,3,12:50:56,12:52:56,[],['32']
17,1,12:59:51,13:02:00,['8'],[]
18,0,13:08:14,13:43:00,['17'],['8']
19,3,13:52:19,13:58:51,['12'],['17']
20,6,14:04:34,14:06:34,[],['12']
21,0,14:20:58,19:00:00,[],[]
