number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:36:18,[],[]
2,17,08:51:58,08:53:58,['49'],[]
3,15,09:05:14,09:07:14,[],['49']
4,16,09:10:00,09:12:00,['27'],[]
5,4,09:15:44,09:19:18,"['28', '40']",[]
6,17,09:24:12,09:26:12,[],"['27', '28']"
7,19,09:31:12,09:37:00,"['38', '16', '17']",['40']
8,4,09:46:14,09:48:14,[],['17']
9,0,10:00:21,10:02:20,[],"['38', '16']"
10,15,10:11:20,10:13:38,['3'],[]
11,4,10:20:01,10:37:07,"['44', '21']",[]
12,17,10:42:01,10:44:01,[],['21']
13,20,10:53:15,10:55:43,['24'],"['44', '3']"
14,17,11:04:57,11:07:00,['37'],[]
15,4,11:11:54,11:13:54,[],['37']
16,0,11:26:01,11:40:00,[],['24']
17,0,11:40:00,19:00:00,[],[]
