user ID,used buses,used transfer points,waiting time,ride time
0,"[19, 28]","[10, 0, 1]",6.0,25.75
1,"[28, 29]","[2, 3, 13]",9.7,20.709
2,"[18, 19]","[5, 3, 8]",21.4,10.069
3,"[18, 29]","[4, 3, 9]",21.8,11.077
4,"[19, 18]","[9, 3, 5]",4.0,13.53
5,[29],"[11, 9]",2.0,3.462
6,"[19, 28]","[7, 0, 1]",4.0,9.692
7,"[19, 28]","[9, 3, 6]",4.0,13.324
8,[29],"[12, 3]",2.0,16.673
9,[18],"[1, 6]",11.7,13.53
10,[28],"[1, 0]",2.0,6.231
11,[19],"[10, 11]",2.0,1.958
12,[19],"[0, 10]",18.7,19.426
13,[19],"[3, 9]",2.0,7.615
14,[19],"[0, 13]",2.0,24.31
15,[19],"[11, 7]",6.0,18.205
16,[19],"[3, 8]",2.0,4.154
17,[29],"[13, 11]",4.2,8.478
18,"[28, 19]","[6, 3, 9]",4.0,13.324
19,[19],"[11, 13]",2.0,5.709
20,[18],"[1, 5]",4.0,12.838
21,[28],"[2, 5]",7.7,9.377
22,[29],"[0, 7]",2.0,3.462
23,"[29, 18]","[10, 3, 5]",16.6,22.701
24,"[28, 19]","[2, 3, 12]",20.8,20.154
25,[19],"[3, 0]",2.0,9.314
26,[29],"[9, 3]",2.0,7.615
27,"[19, 18]","[8, 3, 4]",13.3,7.615
28,[18],"[2, 6]",2.0,7.359
29,"[18, 19]","[5, 3, 9]",6.0,16.786
30,[18],"[5, 0]",6.0,18.485
31,"[18, 19]","[4, 3, 0]",8.5,12.776
32,"[28, 29]","[6, 3, 9]",4.0,13.324
33,"[28, 19]","[4, 3, 10]",4.3,13.252
34,[29],"[13, 12]",2.0,2.769
35,[29],"[11, 8]",15.6,7.667
36,[29],"[7, 12]",2.0,22.94
37,[18],"[4, 0]",4.0,12.776
38,"[28, 29]","[2, 3, 10]",7.7,13.252
39,[29],"[13, 0]",8.0,25.113
40,[29],"[11, 8]",4.0,6.923
41,[19],"[10, 8]",2.0,5.709
42,[18],"[2, 3]",2.0,3.462
43,[29],"[9, 13]",4.0,9.953
44,"[28, 29]","[1, 3, 8]",8.5,11.077
45,"[29, 18]","[8, 0, 1]",4.0,18.712
46,[19],"[8, 10]",2.0,5.709
47,"[18, 29]","[4, 3, 10]",9.4,13.573
48,"[18, 29]","[5, 3, 8]",11.2,13.324
49,[18],"[1, 6]",6.0,13.53
50,[19],"[7, 11]",6.0,18.877
51,[18],"[1, 6]",11.7,13.53
52,[29],"[3, 7]",2.0,7.128
53,[29],"[12, 11]",2.0,5.709
54,"[29, 18]","[12, 3, 4]",4.0,20.135
55,"[29, 18]","[0, 3, 6]",6.0,15.921
56,"[29, 18]","[12, 3, 6]",6.0,26.05
57,[18],"[3, 5]",2.0,5.915
58,"[18, 19]","[6, 3, 11]",6.0,16.786
59,[19],"[10, 7]",2.0,16.058
