number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,08:07:48,[],[]
2,3,08:17:06,08:19:07,['1'],[]
3,4,08:22:34,08:45:00,['72'],['1']
4,3,08:48:27,09:26:16,"['55', '23']",['72']
5,4,09:29:43,09:32:17,[],"['55', '23']"
6,5,09:37:59,09:40:00,['70'],[]
7,4,09:45:42,10:10:00,['41'],['70']
8,3,10:13:27,10:15:27,[],['41']
9,4,10:18:54,10:27:43,"['64', '44']",[]
10,3,10:31:10,10:55:01,"['77', '29']","['64', '44']"
11,4,10:58:28,12:03:22,['74'],"['29', '77']"
12,3,12:06:49,12:27:47,"['35', '42']",['74']
13,5,12:33:41,12:35:42,[],"['35', '42']"
14,3,12:41:36,12:46:04,['46'],[]
15,1,12:52:59,12:55:00,['60'],['46']
16,2,12:58:27,13:00:58,['9'],[]
17,3,13:04:25,13:06:26,['58'],['9']
18,4,13:09:53,13:11:53,[],"['60', '58']"
19,6,13:17:47,13:45:00,['18'],[]
20,3,13:50:42,13:52:42,[],['18']
21,2,13:56:09,14:34:47,['59'],[]
22,3,14:38:14,14:51:09,['28'],[]
23,6,14:56:51,15:19:59,['4'],"['59', '28']"
24,4,15:25:53,15:48:22,['65'],['4']
25,3,15:51:49,15:53:50,['56'],['65']
26,4,15:57:17,15:59:18,[],['56']
27,3,16:02:45,16:45:00,['12'],[]
28,4,16:48:27,16:50:27,[],['12']
29,3,16:53:54,16:56:19,['54'],[]
30,4,16:59:46,17:01:46,['34'],['54']
31,6,17:07:40,17:09:41,[],['34']
32,4,17:15:35,17:17:36,['57'],[]
33,3,17:21:03,17:23:04,"['24', '39']",['57']
34,4,17:26:31,17:28:32,['5'],"['24', '39']"
35,6,17:34:26,17:36:27,[],['5']
36,21,17:50:51,19:00:00,[],[]
