number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,08:10:53,[],[]
2,4,08:22:59,08:25:00,['29'],[]
3,6,08:30:54,08:32:54,[],['29']
4,5,08:33:35,08:35:36,['34'],[]
5,4,08:41:18,08:48:48,[],['34']
6,3,08:52:15,08:54:16,['36'],[]
7,4,08:57:43,09:02:37,"['32', '18', '4']",['36']
8,3,09:06:04,09:08:05,['23'],"['32', '18', '4']"
9,5,09:13:59,09:15:59,[],['23']
10,3,09:21:53,09:52:54,"['22', '13']",[]
11,6,09:58:36,11:35:00,['17'],"['22', '13']"
12,4,11:40:54,11:42:54,[],['17']
13,3,11:46:21,11:48:22,['27'],[]
14,4,11:51:49,11:58:53,[],['27']
15,3,12:02:20,12:15:46,['51'],[]
16,4,12:19:13,12:21:14,['58'],['51']
17,3,12:24:41,12:34:59,"['3', '49']",['58']
18,1,12:41:54,12:43:55,[],['3']
19,0,12:50:08,12:53:09,[],['49']
20,1,12:59:22,13:01:23,['28'],[]
21,2,13:04:50,13:06:51,['59'],[]
22,3,13:10:18,13:12:19,['14'],['28']
23,4,13:15:46,13:20:53,[],"['59', '14']"
24,0,13:32:59,13:35:00,['11'],[]
25,1,13:41:13,13:43:13,[],['11']
26,21,13:49:26,19:00:00,[],[]
