number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,08:28:35,[],[]
2,6,08:42:59,08:45:00,['10'],[]
3,3,08:50:42,08:52:42,[],['10']
4,5,08:58:36,09:10:00,['49'],[]
5,4,09:15:42,10:15:03,"['40', '15']",['49']
6,3,10:18:30,10:20:31,"['14', '39', '31']","['15', '40']"
7,4,10:23:58,10:29:46,"['21', '29', '4']","['39', '31', '14']"
8,5,10:35:28,10:37:28,[],"['21', '4']"
9,6,10:38:09,10:40:10,[],['29']
10,4,10:46:04,10:48:05,"['16', '48']",[]
11,3,10:51:32,11:03:46,"['46', '24', '22']","['16', '48']"
12,4,11:07:13,11:09:13,"['27', '44']","['46', '24']"
13,5,11:14:55,11:16:56,[],['44']
14,6,11:17:37,11:50:00,['50'],"['27', '22']"
15,4,11:55:54,11:57:54,[],['50']
16,3,12:01:21,12:34:04,['67'],[]
17,2,12:37:31,12:39:32,[],['67']
18,1,12:42:59,12:45:00,['9'],[]
19,3,12:51:55,12:55:00,"['18', '5']",[]
20,4,12:58:27,13:03:34,[],"['9', '18', '5']"
21,1,13:13:57,13:22:42,['19'],[]
22,2,13:26:09,13:28:09,['63'],[]
23,4,13:35:04,13:37:05,[],"['19', '63']"
24,6,13:42:59,13:45:00,['41'],[]
25,4,13:50:54,13:52:54,['34'],['41']
26,3,13:56:21,14:03:57,['43'],['34']
27,2,14:07:24,14:15:05,[],['43']
28,21,14:22:12,19:00:00,[],[]
