number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,07:44:21,[],[]
2,11,08:02:59,08:05:00,['17'],[]
3,9,08:08:27,08:10:27,['9'],[]
4,0,08:25:55,08:32:31,[],"['17', '9']"
5,9,08:47:59,08:50:00,['10'],[]
6,3,08:57:36,08:59:36,[],['10']
7,7,09:06:43,09:50:00,['26'],[]
8,0,09:53:27,10:06:45,"['18', '2', '25']",['26']
9,7,10:10:12,10:12:12,[],['18']
10,9,10:26:28,10:45:00,['13'],"['2', '25']"
11,11,10:48:27,10:52:17,[],['13']
12,13,10:57:59,11:00:00,['3'],[]
13,3,11:16:40,11:28:57,['27'],['3']
14,9,11:36:33,11:38:34,[],['27']
15,21,11:54:02,19:00:00,[],[]
