number,stop ID,arrival time,departure time,pick up users,drop of users
1,28,07:00:00,08:11:51,[],[]
2,3,08:21:09,09:33:04,['21'],[]
3,2,09:36:31,09:42:45,[],['21']
4,6,09:50:06,09:52:06,['29'],[]
5,3,09:57:48,10:02:41,[],['29']
6,2,10:06:08,10:08:09,['3'],[]
7,3,10:11:36,10:13:36,[],['3']
8,0,10:22:54,10:26:45,"['23', '19']",[]
9,2,10:33:52,10:35:52,[],['19']
10,5,10:43:41,10:48:35,[],['23']
11,0,11:03:23,11:17:39,['8'],[]
12,6,11:32:03,11:34:04,[],['8']
13,1,11:44:03,12:06:51,['1'],[]
14,3,12:13:46,12:23:55,[],['1']
15,6,12:29:37,13:25:00,['26'],[]
16,1,13:34:59,13:36:59,[],['26']
17,6,13:46:58,13:56:53,['12'],[]
18,3,14:02:35,14:10:44,[],['12']
19,0,14:20:02,15:04:52,['34'],[]
20,5,15:19:40,15:24:42,[],['34']
21,2,15:32:31,15:34:32,['11'],[]
22,1,15:37:59,15:40:00,['25'],[]
23,0,15:46:13,15:48:13,[],"['25', '11']"
24,28,15:48:13,19:00:00,[],[]
