user ID,used buses,used transfer points,waiting time,ride time
0,"[8, 9, 64]","[2, 0, 13, 12]",16.5,34.483
1,[8],"[3, 6]",2.0,5.709
2,[92],"[0, 21]",2.0,8.563
3,[8],"[6, 4]",2.0,5.915
4,"[8, 9, 92]","[2, 3, 0, 22]",18.7,24.869
5,"[64, 92, 8]","[27, 24, 0, 3]",13.8,32.414
6,"[9, 64]","[3, 13, 25]",12.5,23.241
7,"[4, 8, 9, 92, 64]","[18, 4, 3, 0, 24, 12]",15.6,47.96
8,"[92, 8]","[21, 0, 5]",25.7,23.379
9,"[9, 64, 92]","[8, 13, 24, 23]",23.8,24.674
10,"[64, 9]","[24, 13, 11]",22.3,12.277
11,"[92, 4]","[24, 0, 18]",14.2,42.135
12,"[92, 4]","[21, 0, 15]",24.2,17.563
13,-,-,-,-
14,"[92, 64]","[22, 24, 12]",22.6,13.063
15,"[4, 8]","[18, 4, 5]",4.0,14.709
16,"[9, 8, 4]","[8, 3, 4, 15]",15.9,13.998
17,"[9, 8, 4]","[8, 3, 4, 18]",26.5,16.615
18,[64],"[13, 27]",4.0,4.727
19,-,-,-,-
20,"[64, 9]","[25, 13, 9]",4.0,15.674
21,"[92, 9]","[21, 0, 13]",10.5,33.15
22,"[9, 8]","[9, 3, 2]",14.9,11.077
23,"[92, 4]","[21, 0, 4]",20.7,20.674
24,"[4, 8, 9]","[16, 0, 3, 7]",9.6,25.858
25,-,-,-,-
26,[64],"[13, 25]",12.0,10.722
27,"[64, 92]","[13, 24, 23]",18.3,12.106
28,[8],"[5, 0]",2.0,14.816
29,"[9, 8, 4]","[13, 3, 4, 18]",29.3,29.247
30,"[64, 9]","[25, 13, 11]",10.4,12.277
31,"[9, 8]","[9, 3, 4]",4.0,11.077
32,[4],"[19, 4]",2.0,9.237
33,[9],"[9, 13]",2.0,9.106
34,[9],"[10, 3]",2.0,9.791
35,-,-,-,-
36,[9],"[9, 7]",2.0,14.272
37,"[4, 8, 92]","[15, 4, 0, 22]",12.4,30.344
38,-,-,-,-
39,"[9, 8, 4]","[10, 3, 4, 18]",28.0,22.252
40,"[8, 4]","[6, 4, 18]",4.0,14.915
41,-,-,-,-
42,"[92, 4]","[24, 0, 14]",26.4,26.449
43,[92],"[22, 24]",2.0,9.027
44,"[9, 8]","[9, 3, 1]",4.0,14.538
45,"[4, 9]","[16, 0, 9]",11.3,24.897
46,"[64, 9]","[26, 13, 11]",18.9,12.092
47,"[4, 8, 92, 64]","[15, 4, 0, 24, 26]",20.6,42.874
48,-,-,-,-
49,[4],"[20, 4]",2.0,13.915
50,"[92, 64]","[23, 24, 25]",15.4,9.692
51,[4],"[18, 20]",2.0,5.04
52,-,-,-,-
53,[92],"[22, 0]",2.0,11.85
54,"[8, 4]","[5, 4, 19]",4.0,14.945
55,"[92, 64]","[21, 24, 25]",6.0,16.711
56,-,-,-,-
57,"[64, 92, 9]","[25, 24, 0, 3]",8.6,34.345
58,[64],"[12, 13]",2.0,2.769
59,[9],"[11, 7]",4.0,18.205
