number,stop ID,arrival time,departure time,pick up users,drop of users
1,29,07:00:00,08:03:57,[],[]
2,12,08:07:59,08:10:00,['22'],[]
3,27,08:11:57,08:50:00,['25'],['22']
4,24,08:52:11,08:54:11,[],['25']
5,13,09:00:45,09:08:48,['11'],[]
6,27,09:13:10,09:15:10,[],['11']
7,24,09:17:21,09:20:00,['9'],[]
8,13,09:26:34,09:28:34,"['46', '21']",['9']
9,24,09:35:08,09:37:08,[],"['46', '21']"
10,25,09:41:17,10:43:59,['53'],[]
11,12,10:48:01,10:50:01,['35'],[]
12,13,10:52:47,10:54:47,['12'],"['35', '53']"
13,26,11:01:09,11:14:30,[],['12']
14,13,11:20:52,11:41:06,"['36', '18']",[]
15,26,11:47:28,11:49:29,[],"['18', '36']"
16,24,11:52:56,11:54:57,['6'],[]
17,26,11:58:24,12:00:24,[],['6']
18,13,12:06:46,12:18:27,['38'],[]
19,27,12:22:49,12:27:29,['59'],['38']
20,26,12:30:56,12:32:57,[],['59']
21,12,12:37:59,12:40:00,"['56', '17']",[]
22,13,12:42:46,12:44:46,[],"['17', '56']"
23,25,12:51:20,13:02:24,['14'],[]
24,24,13:06:33,13:11:09,[],['14']
25,27,13:13:20,13:24:14,['3'],[]
26,24,13:26:25,13:28:26,[],['3']
27,27,13:30:37,14:05:00,['57'],[]
28,24,14:07:11,14:19:27,['24'],['57']
29,25,14:23:36,14:40:36,[],['24']
30,13,14:47:10,14:52:42,['44'],[]
31,27,14:57:04,15:11:12,[],['44']
32,25,15:15:14,15:40:00,['42'],[]
33,13,15:46:34,15:48:34,['20'],['42']
34,27,15:52:56,16:08:44,[],['20']
35,13,16:13:06,17:24:58,"['28', '41']",[]
36,24,17:31:32,17:33:32,[],"['28', '41']"
37,29,17:37:41,19:00:00,[],[]
