number,stop ID,arrival time,departure time,pick up users,drop of users
1,28,07:00:00,08:18:25,[],[]
2,0,08:18:25,08:20:25,['11'],[]
3,15,08:29:25,08:31:24,[],['11']
4,18,08:46:41,08:51:11,"['3', '13']",[]
5,4,09:00:10,09:02:11,['12'],"['3', '13']"
6,20,09:16:05,09:18:06,[],['12']
7,4,09:32:00,09:34:01,"['7', '8']",[]
8,19,09:43:15,09:46:11,[],['7']
9,20,09:51:04,09:53:05,[],['8']
10,4,10:06:59,10:09:00,['15'],[]
11,18,10:18:00,10:20:00,['1'],['15']
12,4,10:29:00,11:02:42,['5'],['1']
13,0,11:14:48,11:16:49,[],['5']
14,28,11:16:49,19:00:00,[],[]
