number,stop ID,arrival time,departure time,pick up users,drop of users
1,29,07:00:00,08:13:50,[],[]
2,24,08:17:59,08:20:00,['14'],[]
3,12,08:24:02,08:29:12,[],['14']
4,24,08:33:14,08:40:00,['7'],[]
5,13,08:46:34,08:48:34,[],['7']
6,27,08:52:56,09:05:00,['3'],[]
7,24,09:07:11,09:15:18,"['6', '4']",['3']
8,25,09:19:27,09:21:27,[],"['6', '4']"
9,12,09:25:29,10:05:13,['24'],[]
10,24,10:09:15,10:11:16,['15'],['24']
11,13,10:17:50,10:19:50,[],['15']
12,24,10:26:24,10:55:00,['19'],[]
13,27,10:57:11,11:03:04,[],['19']
14,29,11:07:06,19:00:00,[],[]
