number,stop ID,arrival time,departure time,pick up users,drop of users
1,26,07:00:00,09:16:48,[],[]
2,1,09:22:59,09:25:00,['32'],[]
3,0,09:31:11,10:05:19,['1'],['32']
4,4,10:31:18,10:33:18,['0'],['1']
5,0,10:59:17,11:11:51,"['5', '25']",['0']
6,1,11:18:02,11:20:03,[],['25']
7,2,11:25:35,11:27:35,[],['5']
8,1,11:33:07,11:51:11,['31'],[]
9,0,11:57:22,12:04:32,['33'],['31']
10,4,12:30:31,12:45:42,['10'],['33']
11,0,13:11:41,13:13:42,[],['10']
12,4,13:39:41,14:09:07,['19'],[]
13,1,14:29:25,14:31:25,[],['19']
14,3,14:42:29,15:07:07,['6'],[]
15,4,15:16:20,16:06:01,['13'],['6']
16,3,16:15:14,16:17:15,[],['13']
17,2,16:22:47,16:25:00,['12'],[]
18,0,16:36:25,16:42:11,[],['12']
19,26,16:42:10,19:00:00,[],[]
