user ID,used buses,used transfer points,waiting time,ride time
0,"[21, 20, 14, 30]","[4, 0, 13, 21, 20]",16.5,54.562
1,"[30, 21]","[17, 0, 4]",8.8,34.504
2,-,-,-,-
3,[30],"[21, 17]",4.0,12.923
4,[20],"[10, 12]",2.0,10.32
5,"[20, 21]","[12, 0, 2]",21.9,29.604
6,"[21, 20]","[3, 4, 13]",23.1,31.709
7,[30],"[15, 0]",2.0,2.769
8,"[10, 20, 14, 30]","[5, 4, 13, 21, 20]",26.8,43.586
9,"[30, 14, 20]","[20, 21, 13, 8]",18.7,41.376
10,"[10, 21, 30]","[6, 4, 0, 16]",19.5,41.164
11,"[30, 20, 14]","[15, 0, 13, 22]",24.5,24.243
12,"[21, 20, 14]","[2, 0, 13, 22]",20.7,32.892
13,"[10, 21]","[6, 4, 3]",9.3,17.939
14,[10],"[8, 6]",2.0,7.209
15,"[20, 30]","[9, 0, 17]",8.0,32.222
16,"[10, 20]","[4, 8, 9]",7.4,23.688
17,"[14, 30]","[24, 21, 16]",15.9,31.887
18,[30],"[16, 21]",2.0,14.06
19,"[10, 21]","[6, 4, 1]",17.4,29.016
20,"[14, 20]","[21, 13, 10]",9.2,30.743
21,"[30, 14]","[19, 21, 25]",22.3,19.285
22,"[14, 20, 30]","[24, 13, 0, 16]",6.0,24.645
23,[30],"[19, 16]",2.0,8.51
24,-,-,-,-
25,"[14, 20, 21]","[25, 13, 0, 1]",27.5,20.265
26,-,-,-,-
27,"[20, 14]","[14, 13, 25]",19.5,6.611
28,"[14, 20]","[21, 13, 0]",17.6,24.876
29,"[20, 14]","[10, 13, 21]",19.9,30.743
30,"[30, 14]","[16, 21, 24]",4.0,31.887
31,[21],"[1, 0]",2.0,6.192
32,"[21, 20]","[1, 0, 10]",16.1,34.366
33,"[30, 21, 10]","[20, 0, 4, 6]",20.1,51.343
34,[10],"[4, 6]",2.0,8.708
35,-,-,-,-
36,"[10, 20]","[7, 8, 12]",15.8,21.985
37,[30],"[16, 18]",2.0,6.656
38,[20],"[12, 8]",2.0,16.513
39,-,-,-,-
