number,stop ID,arrival time,departure time,pick up users,drop of users
1,26,07:00:00,08:34:48,[],[]
2,0,08:34:47,08:36:48,['40'],[]
3,1,08:42:59,08:45:00,['22'],[]
4,2,08:50:32,08:55:00,['15'],[]
5,3,09:00:32,09:02:32,[],['40']
6,4,09:11:45,09:21:52,[],"['22', '15']"
7,3,09:31:05,10:23:52,['47'],[]
8,0,10:40:42,10:48:43,"['6', '4']",['47']
9,1,10:54:54,10:56:55,[],['4']
10,3,11:07:59,11:10:00,['21'],[]
11,4,11:19:13,11:50:00,['37'],"['21', '6']"
12,3,11:59:13,12:01:13,['42'],[]
13,2,12:06:45,12:08:46,[],"['42', '37']"
14,4,12:23:32,12:46:52,['46'],[]
15,1,13:07:10,13:09:11,[],['46']
16,2,13:14:43,13:50:00,['29'],[]
17,0,14:01:25,14:06:26,[],['29']
18,4,14:32:25,14:55:59,['49'],[]
19,0,15:21:58,15:23:58,"['36', '27']",['49']
20,2,15:35:23,15:42:00,[],['36']
21,4,15:56:46,15:58:46,[],['27']
22,3,16:07:59,16:10:00,['26'],[]
23,0,16:26:50,16:28:50,['10'],['26']
24,1,16:35:01,16:37:02,[],['10']
25,26,16:43:13,19:00:00,[],[]
