number,stop ID,arrival time,departure time,pick up users,drop of users
1,28,07:00:00,07:54:18,[],[]
2,20,07:57:59,08:00:00,['26'],[]
3,21,08:03:41,09:30:43,['25'],['26']
4,19,09:37:10,10:30:00,['1'],['25']
5,21,10:36:27,10:41:55,"['3', '21']",['1']
6,18,10:51:08,10:53:09,[],['21']
7,0,11:04:42,11:06:43,[],['3']
8,19,11:20:46,12:40:00,['7'],[]
9,17,12:46:27,12:50:00,['11'],[]
10,0,12:58:30,13:00:52,"['4', '16']","['7', '11']"
11,15,13:03:38,13:14:45,[],['4']
12,16,13:18:26,13:25:00,['22'],['16']
13,21,13:39:03,13:41:03,[],['22']
14,28,13:41:02,19:00:00,[],[]
