number,stop ID,arrival time,departure time,pick up users,drop of users
1,16,07:00:00,08:17:45,[],[]
2,0,08:47:59,08:50:00,['9'],[]
3,13,09:01:09,09:03:09,[],['9']
4,12,09:09:52,09:35:00,['1'],[]
5,13,09:41:43,09:43:43,[],['1']
6,14,09:47:24,09:49:24,['19'],[]
7,0,09:57:20,09:59:21,[],['19']
8,4,10:25:20,11:01:13,['16'],[]
9,10,11:07:07,11:09:08,[],['16']
10,11,11:14:40,13:50:00,['17'],[]
11,4,14:00:48,14:02:48,[],['17']
12,9,14:14:37,14:16:37,['4'],[]
13,0,14:36:05,14:40:43,['12'],['4']
14,13,14:51:52,14:53:53,[],['12']
15,9,15:05:52,15:20:00,['3'],[]
16,4,15:31:49,15:33:49,['14'],['3']
17,9,15:45:38,15:47:38,[],['14']
18,16,15:58:23,19:00:00,[],[]
