number,stop ID,arrival time,departure time,pick up users,drop of users
1,16,07:00:00,08:30:08,[],[]
2,10,08:40:27,08:42:27,['9'],[]
3,11,08:47:59,08:50:00,['23'],[]
4,13,09:01:40,09:05:22,['45'],['9']
5,14,09:09:03,09:11:04,['36'],[]
6,0,09:19:00,09:21:00,"['3', '27', '46']","['45', '36', '23']"
7,14,09:28:56,09:30:57,[],"['3', '46']"
8,12,09:37:40,09:39:40,[],['27']
9,8,09:56:10,09:58:10,['16'],[]
10,12,10:14:40,10:16:41,['7'],['16']
11,13,10:23:24,10:29:59,['28'],[]
12,14,10:33:40,10:35:41,['5'],['7']
13,0,10:43:37,10:45:37,"['25', '11', '40']","['5', '28']"
14,12,10:59:27,11:01:28,[],['25']
15,11,11:06:26,11:08:26,[],"['11', '40']"
16,4,11:19:14,11:21:14,"['18', '14']",[]
17,0,11:47:13,11:59:59,"['20', '41', '1', '49']","['18', '14']"
18,12,12:13:49,12:15:50,[],"['41', '20']"
19,11,12:20:48,12:22:49,[],['49']
20,9,12:26:37,12:28:37,[],['1']
21,8,12:39:22,12:45:00,['15'],[]
22,10,12:55:19,12:57:19,['38'],[]
23,12,13:07:38,13:25:00,['44'],"['38', '15']"
24,0,13:38:50,13:40:50,['6'],['44']
25,14,13:48:46,13:56:55,[],['6']
26,11,14:07:59,14:10:00,['24'],[]
27,8,14:23:43,14:37:29,[],['24']
28,16,14:37:29,19:00:00,[],[]
