number,stop ID,arrival time,departure time,pick up users,drop of users
1,15,07:00:00,09:34:05,[],[]
2,0,09:34:05,09:36:05,['7'],[]
3,4,10:02:04,10:04:05,['28'],['7']
4,3,10:13:18,10:15:19,[],['28']
5,4,10:24:32,10:27:14,['41'],[]
6,1,10:47:32,10:51:30,[],['41']
7,2,10:57:02,10:59:03,['51'],[]
8,4,11:13:49,11:15:49,"['15', '47']",['51']
9,3,11:25:02,12:15:00,['12'],"['15', '47']"
10,2,12:20:32,12:22:32,[],['12']
11,1,12:28:04,12:40:00,['9'],[]
12,0,12:46:11,13:03:50,['13'],['9']
13,1,13:10:01,13:12:01,[],['13']
14,3,13:23:05,13:45:00,['25'],[]
15,4,13:54:13,14:34:45,['11'],['25']
16,0,15:00:44,15:02:45,[],['11']
17,15,15:02:45,19:00:00,[],[]
