user ID,used buses,used transfer points,waiting time,ride time
0,"[110, 121]","[8, 4, 2]",10.2,27.692
1,"[21, 120]","[2, 4, 12]",20.9,30.543
2,"[20, 10]","[14, 4, 5]",16.8,26.188
3,[20],"[12, 4]",5.4,15.775
4,-,-,-,-
5,[20],"[0, 14]",2.0,7.941
6,[110],"[4, 7]",18.3,11.633
7,"[120, 110]","[13, 8, 7]",12.5,32.917
8,[10],"[7, 5]",2.0,7.941
9,"[121, 10]","[1, 4, 8]",23.0,33.231
10,[10],"[5, 8]",2.0,9.231
11,-,-,-,-
12,[120],"[9, 0]",2.0,19.472
13,[20],"[10, 4]",2.0,5.911
14,"[21, 10]","[2, 4, 5]",24.4,18.462
15,"[20, 21]","[14, 0, 4]",10.2,34.128
16,[21],"[2, 0]",2.0,11.418
17,"[21, 110]","[3, 4, 7]",6.8,20.708
18,"[110, 21]","[6, 4, 3]",14.3,17.939
19,[120],"[9, 0]",10.2,22.823
20,"[21, 20]","[2, 4, 9]",26.5,26.59
21,"[10, 121]","[5, 4, 2]",24.4,18.462
22,[120],"[10, 12]",4.0,21.684
23,"[110, 20]","[6, 4, 14]",5.0,30.258
24,[121],"[0, 4]",2.0,25.994
25,-,-,-,-
26,"[121, 20]","[3, 4, 9]",8.9,21.052
27,[120],"[11, 14]",2.0,11.077
28,[110],"[5, 7]",2.0,7.941
29,[21],"[2, 3]",2.0,5.538
30,[121],"[3, 0]",2.0,16.845
31,"[20, 110]","[9, 4, 7]",16.9,22.975
32,"[20, 110]","[9, 4, 6]",4.0,20.529
33,[121],"[4, 0]",12.8,26.075
34,[120],"[8, 0]",18.5,33.588
35,-,-,-,-
36,"[120, 110]","[14, 8, 7]",18.8,36.61
37,"[10, 20]","[5, 4, 14]",25.2,25.242
38,[10],"[7, 5]",2.0,7.941
39,-,-,-,-
40,[20],"[9, 4]",2.0,11.821
41,[20],"[10, 4]",2.0,5.911
42,"[21, 10]","[3, 4, 5]",22.6,12.923
43,[20],"[11, 4]",2.0,10.804
44,"[21, 20]","[2, 4, 14]",7.7,36.319
45,"[21, 20]","[3, 0, 11]",7.5,33.927
46,[10],"[8, 4]",2.0,12.923
47,"[21, 110]","[3, 4, 7]",6.8,20.708
48,[120],"[11, 10]",2.0,5.538
49,[120],"[11, 10]",2.0,5.538
