number,stop ID,arrival time,departure time,pick up users,drop of users
1,22,07:00:00,07:51:04,[],[]
2,14,07:57:59,08:00:00,['5'],[]
3,12,08:03:38,08:09:16,[],['5']
4,15,08:15:00,08:38:42,['62'],[]
5,6,08:43:20,08:45:20,['2'],['62']
6,8,08:57:59,09:00:00,[],['2']
7,0,09:13:25,09:17:27,['46'],[]
8,7,09:27:14,09:30:54,[],['46']
9,10,09:35:32,09:37:32,['29'],[]
10,12,09:42:59,09:45:00,['1'],[]
11,6,09:55:21,10:19:29,['55'],"['1', '29']"
12,16,10:21:18,10:23:18,['45'],[]
13,14,10:28:36,10:30:36,[],['55']
14,13,10:33:10,10:35:10,[],['45']
15,16,10:42:59,10:45:00,['40'],[]
16,6,10:46:49,11:30:00,"['67', '61']",['40']
17,15,11:34:38,12:04:05,['4'],"['67', '61']"
18,11,12:12:18,12:14:18,[],['4']
19,16,12:25:12,12:52:52,['60'],[]
20,14,12:58:10,13:00:10,[],['60']
21,9,13:07:59,13:10:00,['11'],[]
22,7,13:14:03,13:16:03,[],['11']
23,14,13:26:24,13:35:00,['31'],[]
24,13,13:37:34,13:40:00,['57'],['31']
25,12,13:42:34,14:25:00,['0'],['57']
26,7,14:35:02,14:37:02,['13'],[]
27,0,14:46:49,14:48:50,[],"['13', '0']"
28,9,15:02:40,15:17:47,['54'],[]
29,10,15:19:04,15:21:04,[],['54']
30,8,15:23:38,15:35:00,['12'],[]
31,9,15:36:17,15:38:17,['69'],[]
32,10,15:39:34,15:41:34,[],['12']
33,16,15:50:11,16:05:11,[],['69']
34,15,16:08:03,16:11:58,['8'],[]
35,6,16:16:36,16:29:52,"['25', '58']",['8']
36,15,16:34:30,16:36:30,[],['25']
37,12,16:42:14,16:57:14,[],['58']
38,22,17:07:35,19:00:00,[],[]
