number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,07:44:05,[],[]
2,4,07:57:59,08:00:00,['47'],[]
3,6,08:03:51,08:05:51,[],['47']
4,19,08:08:43,08:45:00,"['24', '17']",[]
5,6,08:47:52,08:49:52,[],['24']
6,3,08:57:34,08:59:35,[],['17']
7,6,09:07:17,09:18:27,['37'],[]
8,19,09:21:19,09:23:20,[],['37']
9,20,09:26:12,09:35:00,['5'],[]
10,19,09:37:52,09:39:52,['46'],[]
11,6,09:42:44,09:44:44,['48'],['5']
12,5,09:47:18,09:49:19,[],['46']
13,3,09:54:27,09:56:27,[],['48']
14,4,10:00:18,10:02:19,['3'],[]
15,6,10:06:10,10:08:10,[],['3']
16,1,10:21:35,10:23:36,['49'],[]
17,5,10:34:35,10:36:35,[],['49']
18,18,10:41:53,10:43:53,['32'],[]
19,20,10:47:44,10:49:44,[],['32']
20,6,10:55:28,11:33:59,['6'],[]
21,19,11:36:51,11:57:35,[],['6']
22,17,12:01:38,12:05:00,['30'],[]
23,6,12:07:52,12:09:52,['36'],[]
24,3,12:17:34,12:19:35,[],['30']
25,1,12:26:00,12:34:37,[],['36']
26,2,12:35:54,12:37:55,['7'],[]
27,3,12:43:22,12:52:33,['35'],['7']
28,6,13:00:15,13:04:16,['14'],['35']
29,18,13:07:08,13:09:08,[],['14']
30,20,13:12:59,13:15:00,['2'],[]
31,19,13:17:52,13:20:00,['43'],[]
32,17,13:24:03,13:26:03,[],['43']
33,6,13:28:55,13:30:56,[],['2']
34,17,13:33:48,13:50:00,['27'],[]
35,6,13:52:52,13:54:54,['44'],['27']
36,5,13:57:28,13:59:28,['28'],['44']
37,6,14:02:02,14:04:03,"['31', '16']",['28']
38,1,14:17:28,14:19:28,[],['16']
39,0,14:24:06,14:26:08,[],['31']
40,21,14:26:07,19:00:00,[],[]
