number,stop ID,arrival time,departure time,pick up users,drop of users
1,22,07:00:00,08:01:29,[],[]
2,9,08:12:58,08:14:59,['28'],[]
3,13,08:23:36,08:25:36,['25'],[]
4,16,08:33:25,08:35:26,[],['25']
5,6,08:37:15,08:46:10,[],['28']
6,16,08:47:59,08:50:00,['23'],[]
7,6,08:51:49,08:58:38,[],['23']
8,13,09:07:59,09:10:00,['30'],[]
9,12,09:12:34,09:24:34,[],['30']
10,9,09:30:59,09:43:28,['39'],[]
11,6,09:54:57,09:56:58,['7'],['39']
12,14,10:03:53,10:05:53,[],['7']
13,7,10:16:14,10:18:15,['54'],[]
14,6,10:29:53,10:31:54,['56'],['54']
15,15,10:36:32,10:38:32,['60'],[]
16,14,10:41:06,10:43:06,[],['56']
17,8,10:52:11,10:56:42,['12'],['60']
18,9,10:57:59,11:00:00,['29'],[]
19,13,11:08:37,11:10:37,['17'],[]
20,15,11:15:45,11:17:46,[],['17']
21,16,11:20:38,11:25:13,[],['29']
22,6,11:27:02,11:40:54,"['51', '61']",['12']
23,16,11:42:43,11:44:43,[],['51']
24,7,11:55:00,11:57:00,[],['61']
25,9,12:01:03,12:03:04,['34'],[]
26,6,12:14:33,12:16:34,"['22', '2']",['34']
27,14,12:23:29,12:25:30,['53'],[]
28,11,12:32:25,12:34:25,[],['22']
29,10,12:38:16,12:40:17,[],['53']
30,8,12:42:51,12:45:46,[],['2']
31,11,12:50:24,12:58:10,['49'],[]
32,16,13:09:04,13:11:04,['37'],[]
33,6,13:12:53,13:14:54,[],['37']
34,15,13:19:32,13:21:32,['45'],[]
35,6,13:26:10,13:28:10,[],"['45', '49']"
36,10,13:38:31,13:40:32,['1'],[]
37,13,13:48:01,13:50:02,['50'],[]
38,14,13:52:36,13:54:36,[],['1']
39,6,14:01:31,14:22:39,['68'],['50']
40,9,14:34:08,14:36:09,[],['68']
41,22,14:47:38,19:00:00,[],[]
