number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,08:35:28,[],[]
2,6,08:52:42,08:54:43,"['30', '42', '68']",[]
3,4,08:58:34,09:00:35,[],['68']
4,3,09:04:26,09:06:26,[],['30']
5,1,09:12:51,09:32:00,['38'],['42']
6,5,09:42:59,09:45:00,['49'],[]
7,6,09:47:34,09:50:07,[],"['49', '38']"
8,17,09:52:59,09:55:00,['27'],[]
9,6,09:57:52,09:59:52,"['3', '2', '8']",['27']
10,17,10:02:44,10:04:44,[],['3']
11,18,10:07:18,10:10:29,[],['8']
12,20,10:14:20,10:38:59,['22'],['2']
13,6,10:44:43,10:46:44,[],['22']
14,20,10:52:28,10:56:29,['61'],[]
15,6,11:02:13,11:04:14,"['19', '45', '31']",['61']
16,1,11:17:39,11:20:00,['28'],"['19', '45', '31']"
17,3,11:26:25,11:35:00,['89'],[]
18,4,11:38:51,11:41:44,[],['28']
19,6,11:45:35,11:47:36,['82'],['89']
20,1,12:01:01,12:03:01,['75'],['82']
21,3,12:09:26,12:25:09,['86'],[]
22,4,12:29:00,12:31:01,[],"['86', '75']"
23,5,12:32:18,12:34:18,['62'],[]
24,6,12:36:52,12:40:35,"['33', '70', '74']",['62']
25,4,12:44:26,12:46:26,[],['33']
26,1,12:56:13,12:58:14,[],"['70', '74']"
27,0,13:02:52,13:04:52,['87'],[]
28,2,13:10:19,13:19:36,[],['87']
29,0,13:25:03,13:27:03,"['60', '39', '64']",[]
30,1,13:31:41,13:34:15,[],['39']
31,2,13:35:32,13:37:32,[],['64']
32,3,13:42:59,13:45:00,['14'],['60']
33,2,13:50:27,13:52:27,['16'],[]
34,0,13:57:54,13:59:54,[],"['16', '14']"
35,21,13:59:53,19:00:00,[],[]
