number,stop ID,arrival time,departure time,pick up users,drop of users
1,22,07:00:00,08:30:16,[],[]
2,11,08:42:59,08:45:00,['12'],[]
3,12,08:48:51,08:50:51,[],['12']
4,7,09:00:53,09:25:35,['16'],[]
5,6,09:37:13,09:39:14,[],['16']
6,14,09:46:09,10:05:00,['1'],[]
7,13,10:07:34,10:09:34,[],['1']
8,14,10:12:08,10:15:00,['0'],[]
9,6,10:21:55,10:27:22,['6'],['0']
10,16,10:29:11,10:31:11,['28'],[]
11,14,10:36:29,10:38:29,[],"['28', '6']"
12,8,10:47:34,10:49:35,['4'],[]
13,6,11:02:14,11:04:14,['2'],['4']
14,14,11:11:09,11:13:10,[],['2']
15,22,11:20:05,19:00:00,[],[]
