number,stop ID,arrival time,departure time,pick up users,drop of users
1,33,07:00:00,08:26:10,[],[]
2,16,08:27:59,08:30:00,['4'],[]
3,6,08:31:49,08:59:52,"['6', '15']",['4']
4,10,09:10:13,09:12:14,[],['6']
5,0,09:26:36,09:36:21,['18'],['15']
6,14,09:55:27,09:57:27,[],['18']
7,12,10:01:05,11:07:30,['2'],[]
8,6,11:17:51,11:19:52,[],['2']
9,16,11:21:41,12:50:00,['7'],[]
10,6,12:51:49,12:53:49,[],['7']
11,9,13:05:18,13:07:19,['1'],[]
12,6,13:18:48,13:20:49,[],['1']
13,10,13:31:10,13:33:11,['11'],[]
14,12,13:38:38,13:45:00,['0'],['11']
15,6,13:55:21,13:57:30,['8'],['0']
16,12,14:07:51,14:09:51,[],['8']
17,6,14:20:12,14:22:13,['16'],[]
18,11,14:34:56,14:38:21,[],['16']
19,8,14:42:59,14:45:00,['13'],[]
20,0,14:58:25,15:56:38,['5'],['13']
21,11,16:14:32,16:16:32,[],['5']
22,13,16:22:57,16:25:00,['9'],[]
23,6,16:34:21,16:36:21,[],['9']
24,33,16:36:21,19:00:00,[],[]
