number,stop ID,arrival time,departure time,pick up users,drop of users
1,32,07:00:00,09:03:21,[],[]
2,1,09:07:59,09:10:00,['3'],[]
3,0,09:14:38,09:31:47,['10'],['3']
4,1,09:36:25,09:38:25,['23'],[]
5,6,09:51:50,09:55:00,[],"['10', '23']"
6,18,09:57:52,10:15:00,['5'],[]
7,6,10:17:52,10:34:18,[],['5']
8,3,10:42:00,11:05:00,"['48', '8']",[]
9,4,11:08:51,11:22:29,[],['48']
10,19,11:28:13,11:32:21,[],['8']
11,6,11:35:13,12:01:43,['45'],[]
12,5,12:04:17,12:06:17,[],['45']
13,0,12:21:16,13:06:47,"['30', '34']",[]
14,1,13:11:25,13:13:25,"['15', '49']",[]
15,4,13:23:12,13:25:13,[],"['15', '49']"
16,6,13:29:04,13:31:04,['24'],"['30', '34']"
17,20,13:36:48,13:38:49,[],['24']
18,4,13:47:02,14:30:00,['53'],[]
19,20,14:38:13,14:40:13,[],['53']
20,3,14:51:42,15:05:00,['26'],[]
21,6,15:12:42,15:18:51,['16'],['26']
22,18,15:21:43,16:40:00,['7'],['16']
23,6,16:42:52,16:54:02,['36'],['7']
24,3,17:01:44,17:03:44,[],['36']
25,32,17:14:38,19:00:00,[],[]
