number,stop ID,arrival time,departure time,pick up users,drop of users
1,32,07:00:00,08:09:36,[],[]
2,6,08:26:50,08:28:51,['27'],[]
3,5,08:31:25,08:35:00,['14'],[]
4,1,08:45:59,08:53:27,[],['14']
5,0,08:58:05,09:00:05,[],['27']
6,2,09:05:32,09:07:32,['58'],[]
7,3,09:12:59,09:15:00,['9'],[]
8,6,09:22:42,09:24:42,[],['58']
9,18,09:27:34,09:29:35,[],['9']
10,6,09:32:27,09:35:16,"['13', '46', '12']",[]
11,4,09:39:07,09:41:08,[],['13']
12,2,09:49:45,09:51:45,[],['46']
13,1,09:53:02,09:55:02,[],['12']
14,19,10:10:34,10:25:00,['55'],[]
15,6,10:27:52,10:30:13,['30'],['55']
16,3,10:37:55,10:39:56,[],['30']
17,1,10:46:21,10:48:21,['33'],[]
18,0,10:52:59,10:55:00,"['22', '44']",['33']
19,2,11:00:27,11:02:27,[],['22']
20,5,11:12:14,11:14:14,['56'],[]
21,6,11:16:48,11:18:49,[],['56']
22,20,11:24:33,11:26:34,[],['44']
23,19,11:29:26,11:31:26,['10'],[]
24,6,11:34:18,11:45:00,['5'],['10']
25,20,11:50:44,11:52:44,[],['5']
26,6,11:58:28,12:00:29,['52'],[]
27,4,12:04:20,12:06:21,[],['52']
28,5,12:07:38,12:15:00,['54'],[]
29,6,12:17:34,12:27:09,['35'],['54']
30,3,12:34:51,12:36:52,[],['35']
31,2,12:42:19,12:45:00,['7'],[]
32,6,12:57:11,13:13:55,"['19', '11']",['7']
33,4,13:17:46,13:19:47,[],['11']
34,0,13:33:41,14:14:51,['0'],['19']
35,1,14:19:29,14:21:30,[],['0']
36,32,14:26:08,19:00:00,[],[]
