user ID,used buses,used transfer points,waiting time,ride time
0,-,-,-,-
1,"[8, 7]","[17, 28, 27]",23.9,16.494
2,"[6, 0]","[15, 6, 4]",20.5,8.55
3,"[0, 6]","[5, 6, 7]",19.0,14.214
4,[6],"[10, 14]",2.0,6.556
5,"[7, 8]","[23, 28, 30]",12.7,18.906
6,-,-,-,-
7,[7],"[24, 25]",2.0,2.571
8,[0],"[3, 20]",8.0,17.53
9,[6],"[12, 15]",2.0,5.75
10,[7],"[23, 26]",2.0,7.714
11,[6],"[6, 9]",13.7,16.872
12,-,-,-,-
13,[6],"[16, 12]",2.0,8.625
14,"[7, 8, 0]","[26, 28, 6, 5]",24.6,21.584
15,[6],"[9, 13]",4.0,9.0
16,"[6, 8, 7]","[16, 6, 28, 26]",25.3,20.879
17,"[8, 0]","[17, 6, 1]",20.2,16.298
18,"[6, 0]","[10, 6, 19]",18.6,17.306
19,"[0, 6]","[5, 6, 7]",4.0,14.214
20,-,-,-,-
21,"[8, 0]","[30, 17, 20]",9.2,13.497
22,-,-,-,-
23,"[8, 7]","[31, 28, 25]",6.0,9.779
24,"[6, 0]","[12, 6, 19]",6.0,14.807
25,[0],"[19, 1]",8.0,16.524
26,"[0, 6]","[18, 6, 13]",13.5,12.235
27,-,-,-,-
28,-,-,-,-
29,-,-,-,-
