number,stop ID,arrival time,departure time,pick up users,drop of users
1,27,07:00:00,07:41:29,[],[]
2,12,07:57:59,08:00:00,['49'],[]
3,8,08:16:30,08:36:29,"['0', '8']",['49']
4,12,08:52:59,08:55:00,['22'],[]
5,14,09:01:43,09:05:03,[],['8']
6,0,09:12:59,09:15:00,"['44', '13']","['0', '22']"
7,13,09:26:09,09:34:55,['24'],[]
8,11,09:46:35,09:52:34,[],['44']
9,10,09:58:06,10:00:07,[],['13']
10,8,10:10:26,10:12:26,[],['24']
11,11,10:26:09,10:29:59,['30'],[]
12,0,10:46:57,10:50:00,"['4', '14']",['30']
13,12,11:03:50,11:15:00,['2'],"['4', '14']"
14,0,11:28:50,12:45:00,['20'],['2']
15,12,12:58:50,13:05:00,['21'],[]
16,10,13:15:19,13:18:42,[],['21']
17,9,13:24:36,14:26:42,['42'],['20']
18,4,14:38:31,14:40:31,[],['42']
19,13,15:02:59,15:05:00,['62'],[]
20,14,15:08:41,15:10:41,['58'],[]
21,0,15:18:37,15:26:03,"['23', '26']","['58', '62']"
22,11,15:43:01,15:45:01,[],['23']
23,4,15:55:49,15:57:50,[],['26']
24,12,16:13:36,16:35:00,['61'],[]
25,4,16:50:46,16:52:46,[],['61']
26,10,16:58:40,17:00:41,['35'],[]
27,11,17:06:13,17:08:13,[],['35']
28,13,17:19:53,17:21:53,['56'],[]
29,14,17:25:34,17:27:35,[],['56']
30,0,17:35:31,17:37:31,['19'],[]
31,8,18:07:45,18:11:50,[],['19']
32,27,18:11:49,19:00:00,[],[]
