user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[30, 120]","[17, 0, 12]",21.1,26.384,26.35,2
1,"[20, 21, 130]","[10, 4, 0, 19]",14.8,46.24,40.25,2
2,"[30, 121]","[17, 0, 1]",4.0,14.703,18.7,2
3,"[114, 20]","[22, 13, 0]",9.4,22.583,25.47,2
4,"[30, 14]","[0, 21, 24]",4.6,37.988,22.17,2
5,"[114, 130, 121]","[24, 21, 0, 3]",10.5,54.944,41.0,3
6,"[120, 21, 30]","[9, 4, 0, 17]",8.3,46.407,31.97,2
7,"[10, 121]","[8, 4, 3]",24.1,22.154,26.13,2
8,[130],"[16, 21]",4.0,14.457,16.03,1
9,[30],"[20, 19]",2.0,2.769,4.75,1
10,"[21, 120, 114]","[3, 0, 13, 24]",12.9,35.028,41.0,3
11,"[20, 14]","[10, 13, 21]",24.1,33.989,34.73,2
12,[110],"[5, 4]",2.0,3.692,5.67,1
13,"[30, 21, 10]","[16, 0, 4, 8]",16.7,48.373,40.67,2
14,"[30, 114]","[18, 21, 13]",22.6,22.953,26.72,2
15,"[14, 20]","[25, 13, 8]",5.0,24.86,28.85,2
16,"[30, 20]","[16, 0, 10]",4.0,28.654,32.63,2
17,"[20, 14]","[8, 13, 22]",27.6,32.262,36.25,2
18,"[120, 14]","[0, 13, 24]",6.5,19.611,22.17,2
19,"[120, 21]","[9, 4, 3]",4.0,21.052,25.03,2
20,[20],"[13, 9]",2.0,12.0,14.0,1
21,"[21, 110]","[1, 4, 6]",4.0,29.016,33.0,2
22,"[21, 20]","[1, 0, 11]",4.0,23.163,27.13,2
23,"[120, 14, 30]","[4, 13, 21, 19]",24.3,44.698,44.03,2
24,[114],"[21, 22]",2.0,5.538,7.52,1
25,"[14, 120]","[22, 13, 14]",16.7,14.013,18.0,2
26,"[130, 120]","[16, 0, 12]",17.5,24.335,24.28,2
27,"[110, 20]","[7, 8, 10]",4.0,15.703,19.7,2
28,"[130, 21]","[15, 0, 4]",26.9,28.763,32.75,2
29,[14],"[25, 22]",2.0,8.51,10.5,1
30,"[14, 120, 10]","[22, 13, 4, 6]",29.0,41.522,45.47,3
31,"[21, 130]","[4, 0, 17]",27.9,34.586,38.5,2
32,"[114, 30]","[24, 21, 20]",6.8,21.939,25.5,2
33,[14],"[25, 23]",4.0,9.455,5.88,1
34,"[121, 30]","[4, 0, 20]",27.8,43.18,45.87,3
35,"[20, 130]","[12, 0, 18]",15.0,30.076,29.38,2
36,"[114, 120]","[25, 13, 12]",9.5,9.639,13.62,2
37,"[120, 114]","[10, 13, 23]",12.1,27.987,27.65,2
38,[121],"[0, 4]",5.6,26.187,27.98,1
39,"[114, 30]","[24, 21, 20]",4.0,21.52,25.5,2
40,[30],"[17, 0]",14.0,12.0,10.5,1
41,[14],"[23, 21]",2.0,14.33,16.32,1
42,"[21, 110]","[3, 4, 6]",24.3,17.939,21.92,2
43,"[14, 20]","[21, 13, 9]",24.3,25.723,29.72,2
44,"[121, 130]","[1, 0, 18]",24.2,17.758,21.75,2
45,"[14, 120]","[21, 13, 4]",10.7,36.216,40.2,2
46,"[20, 130]","[13, 0, 17]",11.0,19.664,23.63,2
47,"[120, 21]","[10, 4, 2]",25.1,20.68,24.65,2
48,"[21, 10]","[0, 4, 6]",4.3,34.702,38.7,2
49,"[120, 14]","[12, 13, 21]",20.3,22.463,24.42,2
50,"[30, 121]","[20, 0, 2]",10.2,28.957,32.03,2
51,[121],"[4, 0]",4.0,26.075,27.98,1
52,"[20, 130]","[9, 0, 20]",6.0,36.699,35.38,3
53,"[114, 120, 130]","[23, 13, 0, 17]",21.2,26.32,31.25,2
54,"[20, 14]","[14, 13, 25]",5.2,6.611,10.6,2
55,"[20, 121]","[13, 0, 1]",4.0,17.346,21.32,2
56,[14],"[22, 13]",2.0,10.32,12.32,1
57,"[114, 20, 121]","[25, 13, 0, 1]",27.5,20.265,26.25,3
58,"[121, 120]","[2, 4, 9]",13.9,26.59,30.58,2
59,"[121, 110]","[2, 4, 7]",26.0,26.247,29.9,2
60,"[121, 30]","[3, 0, 18]",23.8,28.411,32.38,2
61,[30],"[18, 20]",2.0,5.538,7.52,1
62,[114],"[22, 23]",2.0,9.091,11.08,1
63,"[130, 21, 10]","[15, 0, 4, 6]",6.3,37.472,43.47,3
64,"[114, 120]","[25, 13, 10]",13.5,31.323,23.92,2
65,"[14, 30]","[13, 21, 18]",13.8,24.974,26.72,2
66,[20],"[9, 4]",7.1,11.821,13.82,1
67,"[130, 20, 110]","[17, 0, 8, 6]",22.4,48.232,49.2,3
68,"[120, 121, 130]","[10, 4, 0, 15]",16.3,34.755,28.95,2
69,"[120, 114]","[12, 13, 24]",4.0,13.75,17.75,2
