number,stop ID,arrival time,departure time,pick up users,drop of users
1,28,07:00:00,08:55:53,[],[]
2,21,08:55:52,08:57:53,['1'],[]
3,22,09:03:25,09:05:26,[],['1']
4,13,09:15:45,09:17:45,"['59', '8']",[]
5,21,09:31:28,09:33:28,['69'],"['59', '8']"
6,13,09:47:11,09:49:12,[],['69']
7,24,09:56:13,10:16:14,['36'],[]
8,13,10:23:15,10:25:15,[],['36']
9,22,10:35:34,11:00:32,['73'],[]
10,21,11:06:04,11:08:04,[],['73']
11,24,11:25:53,11:40:58,['44'],[]
12,13,11:47:59,12:13:40,"['41', '75']",['44']
13,25,12:16:35,12:24:03,['2'],[]
14,22,12:32:33,12:34:33,[],['41']
15,21,12:40:05,13:04:13,"['25', '68', '50']","['2', '75']"
16,22,13:09:45,13:11:45,[],['25']
17,13,13:22:04,14:10:00,['28'],"['68', '50']"
18,23,14:16:39,14:18:39,[],['28']
19,28,14:32:58,19:00:00,[],[]
