number,stop ID,arrival time,departure time,pick up users,drop of users
1,27,07:00:00,08:10:14,[],[]
2,14,08:33:23,08:35:23,['3'],[]
3,13,08:39:04,08:41:05,['0'],[]
4,11,08:52:45,08:54:46,[],['3']
5,9,08:58:34,09:00:34,[],['0']
6,13,09:12:34,09:14:34,['29'],[]
7,0,09:25:43,09:27:43,['19'],['29']
8,13,09:38:52,09:43:10,"['58', '36']",[]
9,12,09:49:53,09:51:53,['46'],"['58', '36']"
10,11,09:56:51,09:58:52,[],['19']
11,9,10:02:40,10:07:50,[],['46']
12,8,10:18:35,10:27:22,['17'],[]
13,10,10:37:41,10:39:41,['57'],[]
14,13,10:56:42,10:58:42,[],['17']
15,0,11:09:51,11:11:51,['44'],['57']
16,11,11:28:49,11:30:49,[],['44']
17,27,11:44:32,19:00:00,[],[]
