user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[110, 121]","[5, 4, 1]",24.4,24.0,28.0,2
1,[10],"[7, 5]",2.0,7.941,9.92,1
2,"[120, 21]","[12, 0, 2]",4.0,25.264,29.25,2
3,"[120, 10]","[0, 8, 5]",11.2,45.633,33.67,2
4,"[20, 110]","[13, 8, 5]",4.0,31.172,30.15,2
5,"[10, 20]","[6, 8, 10]",9.8,17.53,18.62,2
6,[20],"[14, 13]",2.0,3.692,5.67,1
7,"[121, 120]","[2, 4, 10]",4.0,20.68,24.65,2
8,"[120, 10]","[10, 4, 5]",21.1,9.603,13.6,2
9,[20],"[8, 10]",2.0,10.32,12.32,1
10,"[110, 20]","[6, 8, 12]",6.0,24.664,27.72,2
11,"[20, 10]","[13, 8, 6]",6.0,32.608,33.15,2
12,[10],"[6, 7]",2.0,2.769,4.75,1
13,"[10, 21]","[8, 4, 2]",4.0,27.692,31.68,2
14,"[21, 110]","[1, 4, 7]",27.1,31.785,35.45,2
15,[120],"[0, 14]",2.0,7.941,9.92,1
16,[120],"[14, 9]",2.0,12.555,14.53,1
17,[10],"[8, 7]",2.0,5.382,7.37,1
18,"[10, 21]","[5, 4, 1]",24.4,24.0,28.0,2
19,"[120, 10]","[9, 4, 6]",20.9,20.529,21.97,2
20,[121],"[3, 2]",2.0,5.538,7.52,1
21,[20],"[9, 4]",2.0,11.821,13.82,1
22,[20],"[14, 13]",2.0,3.692,5.67,1
23,"[121, 120]","[1, 0, 10]",24.2,28.384,30.22,2
24,"[21, 10]","[3, 4, 7]",9.7,20.708,24.37,2
25,[20],"[12, 14]",2.0,6.72,8.72,1
26,"[110, 121]","[5, 4, 2]",9.4,18.462,22.45,2
27,[20],"[14, 11]",4.0,15.368,13.07,1
28,"[21, 120]","[2, 4, 11]",26.3,25.574,29.57,2
29,"[20, 10]","[10, 8, 7]",4.0,15.703,19.7,2
