number,stop ID,arrival time,departure time,pick up users,drop of users
1,15,07:00:00,08:17:56,[],[]
2,0,08:17:56,08:19:56,"['38', '23']",[]
3,1,08:26:07,08:28:07,[],['23']
4,4,08:48:25,10:26:07,['16'],['38']
5,1,10:46:25,11:15:00,['24'],['16']
6,4,11:35:18,11:44:15,['10'],['24']
7,3,11:53:28,11:55:29,[],['10']
8,2,12:01:01,12:15:00,['28'],[]
9,4,12:29:46,13:50:41,['11'],['28']
10,3,13:59:54,14:01:55,[],['11']
11,2,14:07:27,15:00:50,['15'],[]
12,0,15:12:15,16:50:00,"['21', '12']",['15']
13,2,17:01:25,17:03:25,[],['21']
14,4,17:18:11,17:20:11,[],['12']
15,15,17:46:10,19:00:00,[],[]
