user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[110, 120]","[5, 4, 0]",12.5,33.312,33.67,2
1,[20],"[9, 0]",4.0,23.154,21.47,1
2,"[121, 20]","[3, 0, 11]",10.2,33.815,24.02,2
3,[120],"[12, 0]",2.0,13.846,15.83,1
4,"[20, 110]","[10, 4, 7]",7.4,17.388,19.7,2
5,-,-,-,-,13.65,1
6,"[121, 20]","[1, 4, 9]",7.2,32.129,29.63,2
7,"[21, 10]","[0, 4, 5]",26.4,29.686,33.67,2
8,"[120, 110]","[14, 8, 7]",13.7,28.702,32.5,2
9,"[21, 120]","[1, 0, 10]",7.0,30.359,30.22,2
10,[121],"[4, 0]",12.8,26.075,27.98,1
11,"[110, 21]","[6, 4, 0]",28.0,34.702,38.7,2
12,[21],"[3, 2]",2.0,5.538,7.52,1
13,"[10, 120, 21]","[6, 4, 0, 1]",11.5,44.52,33.0,2
14,[20],"[10, 14]",2.0,16.615,18.6,1
15,"[10, 21]","[5, 4, 3]",15.4,12.923,16.9,2
16,[120],"[14, 11]",2.0,11.077,13.07,1
17,[20],"[14, 10]",4.0,27.46,18.6,1
18,"[110, 120]","[7, 8, 13]",13.1,28.147,31.32,2
19,[110],"[8, 5]",6.0,14.062,11.22,1
20,"[110, 121]","[7, 4, 2]",12.3,27.141,29.9,2
21,[120],"[9, 10]",2.0,5.911,7.88,1
22,[10],"[4, 6]",4.0,9.603,10.7,1
23,"[10, 20]","[7, 8, 13]",14.5,28.147,31.32,2
24,[20],"[4, 9]",2.0,11.821,13.82,1
25,"[21, 110]","[3, 4, 6]",24.3,17.939,21.92,2
26,"[110, 120]","[6, 8, 9]",22.4,18.916,21.97,2
27,"[20, 10]","[9, 4, 5]",23.6,15.513,19.5,2
28,"[10, 21]","[8, 4, 3]",22.0,22.154,26.13,2
29,"[110, 121]","[8, 4, 3]",8.0,26.246,26.13,2
30,"[120, 110]","[10, 8, 6]",4.0,17.53,18.62,2
31,"[10, 20]","[5, 8, 13]",16.5,36.088,30.15,2
32,[120],"[14, 8]",5.2,23.32,25.13,1
33,"[110, 121]","[5, 4, 2]",6.0,18.462,22.45,2
34,"[20, 110]","[0, 8, 7]",6.0,36.076,39.62,2
35,"[110, 120]","[7, 4, 0]",20.2,41.253,39.62,2
36,"[20, 10]","[9, 8, 6]",4.0,17.974,21.97,2
37,[121],"[1, 0]",2.0,6.192,8.17,1
38,"[121, 110]","[2, 4, 8]",26.4,27.692,31.67,2
39,-,-,-,-,8.72,1
40,"[121, 110]","[2, 4, 5]",24.4,18.462,22.45,2
41,"[120, 10, 21]","[9, 8, 4, 1]",8.0,43.996,29.63,2
42,"[120, 110]","[11, 8, 6]",6.0,21.874,23.5,2
43,"[120, 10]","[11, 4, 5]",4.0,14.497,18.48,2
44,"[120, 110]","[10, 4, 8]",10.0,18.834,12.32,1
45,"[20, 121]","[10, 4, 1]",26.4,26.218,30.22,2
46,[121],"[3, 2]",2.0,5.538,7.52,1
47,"[10, 21]","[8, 4, 3]",18.8,22.154,26.13,2
48,-,-,-,-,15.83,1
49,"[120, 110]","[12, 8, 5]",10.0,32.756,23.43,2
50,[110],"[6, 8]",2.0,7.209,9.2,1
51,"[21, 20]","[2, 4, 12]",7.4,30.543,29.25,2
52,"[21, 120]","[2, 0, 14]",20.6,19.358,23.35,2
53,[120],"[4, 9]",2.0,11.821,13.82,1
54,"[120, 121]","[11, 0, 1]",25.7,23.163,27.13,2
55,"[121, 20]","[3, 4, 10]",20.7,15.141,19.12,2
56,[121],"[4, 2]",2.0,14.769,16.75,1
57,"[120, 110]","[12, 8, 6]",8.7,27.85,27.72,2
58,"[20, 121]","[10, 4, 2]",23.9,20.68,24.65,2
59,"[10, 120]","[6, 8, 11]",23.3,20.932,23.5,2
